,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
103,NC_007795.1,gene,55462,56232,+,protein_coding,SAOUHSC_00052,SAOUHSC_00052,NA,hypothetical protein
105,NC_007795.1,gene,56284,57054,+,protein_coding,SAOUHSC_00053,SAOUHSC_00053,NA,hypothetical protein
107,NC_007795.1,gene,57118,57888,+,protein_coding,SAOUHSC_00054,SAOUHSC_00054,NA,hypothetical protein
109,NC_007795.1,gene,57955,58722,+,protein_coding,SAOUHSC_00055,SAOUHSC_00055,NA,hypothetical protein
111,NC_007795.1,gene,58855,61053,+,protein_coding,SAOUHSC_00056,SAOUHSC_00056,NA,hypothetical protein
113,NC_007795.1,gene,61204,62382,+,protein_coding,SAOUHSC_00057,SAOUHSC_00057,NA,hypothetical protein
115,NC_007795.1,gene,62384,63772,+,protein_coding,SAOUHSC_00058,SAOUHSC_00058,NA,hypothetical protein
117,NC_007795.1,gene,64265,65926,-,protein_coding,SAOUHSC_00060,SAOUHSC_00060,NA,hypothetical protein
119,NC_007795.1,gene,66252,68027,-,protein_coding,SAOUHSC_00061,SAOUHSC_00061,NA,myosin-cross-reactive antigen
121,NC_007795.1,gene,68201,69073,-,protein_coding,SAOUHSC_00062,SAOUHSC_00062,NA,hypothetical protein
123,NC_007795.1,gene,69186,70583,+,protein_coding,SAOUHSC_00064,SAOUHSC_00064,NA,hypothetical protein
125,NC_007795.1,gene,70773,71246,+,protein_coding,SAOUHSC_00065,SAOUHSC_00065,NA,hypothetical protein
127,NC_007795.1,gene,71508,73100,+,protein_coding,SAOUHSC_00067,SAOUHSC_00067,NA,L-lactate permease
129,NC_007795.1,gene,73429,74979,-,protein_coding,SAOUHSC_00069,SAOUHSC_00069,NA,protein A
131,NC_007795.1,gene,75400,76152,-,protein_coding,SAOUHSC_00070,SAOUHSC_00070,NA,accessory regulator-like protein
133,NC_007795.1,gene,76521,77435,-,protein_coding,SAOUHSC_00071,SAOUHSC_00071,NA,lipoprotein SirC
135,NC_007795.1,gene,77516,78511,-,protein_coding,SAOUHSC_00072,SAOUHSC_00072,NA,lipoprotein SirB
137,NC_007795.1,gene,78527,79519,-,protein_coding,SAOUHSC_00074,SAOUHSC_00074,NA,periplasmic binding protein
139,NC_007795.1,gene,79885,80730,+,protein_coding,SAOUHSC_00075,SAOUHSC_00075,NA,2%2C3-diaminopropionate biosynthesis protein SbnA
141,NC_007795.1,gene,80727,81737,+,protein_coding,SAOUHSC_00076,SAOUHSC_00076,NA,2%2C3-diaminopropionate biosynthesis protein SbnB
143,NC_007795.1,gene,81758,83512,+,protein_coding,SAOUHSC_00077,SAOUHSC_00077,NA,hypothetical protein
145,NC_007795.1,gene,83505,84761,+,protein_coding,SAOUHSC_00078,SAOUHSC_00078,NA,hypothetical protein
147,NC_007795.1,gene,84751,86487,+,protein_coding,SAOUHSC_00079,SAOUHSC_00079,NA,hypothetical protein
149,NC_007795.1,gene,86396,88246,+,protein_coding,SAOUHSC_00080,SAOUHSC_00080,NA,hypothetical protein
151,NC_007795.1,gene,88221,88997,+,protein_coding,SAOUHSC_00081,SAOUHSC_00081,NA,hypothetical protein
153,NC_007795.1,gene,88997,90199,+,protein_coding,SAOUHSC_00082,SAOUHSC_00082,NA,hypothetical protein
155,NC_007795.1,gene,90203,90967,+,protein_coding,SAOUHSC_00083,SAOUHSC_00083,NA,hypothetical protein
157,NC_007795.1,gene,91163,91570,+,protein_coding,SAOUHSC_00084,SAOUHSC_00084,NA,hypothetical protein
159,NC_007795.1,gene,91620,92246,+,protein_coding,SAOUHSC_00085,SAOUHSC_00085,NA,hypothetical protein
161,NC_007795.1,gene,92458,93234,+,protein_coding,SAOUHSC_00086,SAOUHSC_00086,NA,acetoin reductase
163,NC_007795.1,gene,93378,93500,+,protein_coding,SAOUHSC_00087,SAOUHSC_00087,NA,hypothetical protein
165,NC_007795.1,gene,93570,94550,+,protein_coding,SAOUHSC_00088,SAOUHSC_00088,NA,hypothetical protein
167,NC_007795.1,gene,94513,95205,+,protein_coding,SAOUHSC_00089,SAOUHSC_00089,NA,hypothetical protein
169,NC_007795.1,gene,95415,96581,+,protein_coding,SAOUHSC_00090,SAOUHSC_00090,NA,hypothetical protein
171,NC_007795.1,gene,96562,97800,+,protein_coding,SAOUHSC_00091,SAOUHSC_00091,NA,hypothetical protein
173,NC_007795.1,gene,97790,99220,+,protein_coding,SAOUHSC_00092,SAOUHSC_00092,NA,hypothetical protein
175,NC_007795.1,gene,99488,100087,+,protein_coding,SAOUHSC_00093,SAOUHSC_00093,NA,superoxide dismutase
177,NC_007795.1,gene,100455,101054,+,protein_coding,SAOUHSC_00094,SAOUHSC_00094,NA,hypothetical protein
179,NC_007795.1,gene,101370,102125,-,protein_coding,SAOUHSC_00096,SAOUHSC_00096,NA,GntR family transcriptional regulator
181,NC_007795.1,gene,102361,103068,+,protein_coding,SAOUHSC_00097,SAOUHSC_00097,NA,purine nucleoside phosphorylase
183,NC_007795.1,gene,103075,104427,+,protein_coding,SAOUHSC_00099,SAOUHSC_00099,NA,hypothetical protein
185,NC_007795.1,gene,104508,105170,+,protein_coding,SAOUHSC_00100,SAOUHSC_00100,NA,2-deoxyribose-5-phosphate aldolase
187,NC_007795.1,gene,105198,106376,+,protein_coding,SAOUHSC_00101,SAOUHSC_00101,NA,phosphopentomutase
189,NC_007795.1,gene,106507,107322,-,protein_coding,SAOUHSC_00102,SAOUHSC_00102,NA,phosphonates ABC transporter permease
191,NC_007795.1,gene,107319,108119,-,protein_coding,SAOUHSC_00103,SAOUHSC_00103,NA,phosphonates ABC transporter permease
193,NC_007795.1,gene,108121,108894,-,protein_coding,SAOUHSC_00104,SAOUHSC_00104,NA,amino acid ABC transporter ATP-binding protein
195,NC_007795.1,gene,109108,110064,-,protein_coding,SAOUHSC_00105,SAOUHSC_00105,NA,phosphonate ABC transporter substrate-binding protein
197,NC_007795.1,gene,110293,111837,+,protein_coding,SAOUHSC_00106,SAOUHSC_00106,NA,hypothetical protein
199,NC_007795.1,gene,111888,113423,+,protein_coding,SAOUHSC_00107,SAOUHSC_00107,NA,hypothetical protein
201,NC_007795.1,gene,113507,113710,+,protein_coding,SAOUHSC_00108,SAOUHSC_00108,NA,hypothetical protein
203,NC_007795.1,gene,114083,114568,+,protein_coding,SAOUHSC_00109,SAOUHSC_00109,NA,replication initiation protein
205,NC_007795.1,gene,114927,115214,+,protein_coding,SAOUHSC_00111,SAOUHSC_00111,NA,hypothetical protein
207,NC_007795.1,pseudogene,115796,116088,+,pseudogene,SAOUHSC_00112,SAOUHSC_00112,NA,NA
208,NC_007795.1,gene,116538,119147,+,protein_coding,SAOUHSC_00113,SAOUHSC_00113,NA,bifunctional acetaldehyde-CoA/alcohol dehydrogenase
210,NC_007795.1,gene,119492,120160,+,protein_coding,SAOUHSC_00114,SAOUHSC_00114,NA,capsular polysaccharide biosynthesis protein
212,NC_007795.1,gene,120176,120862,+,protein_coding,SAOUHSC_00115,SAOUHSC_00115,NA,capsular polysaccharide biosynthesis protein Cap5B
214,NC_007795.1,gene,120865,121629,+,protein_coding,SAOUHSC_00116,SAOUHSC_00116,NA,capsular polysaccharide biosynthesis protein Cap8C
216,NC_007795.1,gene,121649,123472,+,protein_coding,SAOUHSC_00117,SAOUHSC_00117,NA,capsular polysaccharide biosynthesis protein Cap5D
218,NC_007795.1,gene,123462,124490,+,protein_coding,SAOUHSC_00118,SAOUHSC_00118,NA,capsular polysaccharide biosynthesis protein Cap5E
220,NC_007795.1,gene,124503,125612,+,protein_coding,SAOUHSC_00119,SAOUHSC_00119,NA,capsular polysaccharide biosynthesis protein Cap8F
222,NC_007795.1,gene,125616,126740,+,protein_coding,SAOUHSC_00120,SAOUHSC_00120,NA,UDP-N-acetylglucosamine 2-epimerase
224,NC_007795.1,gene,126743,127369,+,protein_coding,SAOUHSC_00121,SAOUHSC_00121,NA,capsular polysaccharide biosynthesis protein O-acetyl transferase Cap5H
226,NC_007795.1,gene,127374,128483,+,protein_coding,SAOUHSC_00122,SAOUHSC_00122,NA,capsular polysaccharide biosynthesis protein Cap5I
228,NC_007795.1,gene,128497,129663,+,protein_coding,SAOUHSC_00123,SAOUHSC_00123,NA,capsular polysaccharide biosynthesis protein Cap5J
230,NC_007795.1,gene,129656,130861,+,protein_coding,SAOUHSC_00124,SAOUHSC_00124,NA,capsular polysaccharide biosynthesis protein Cap5K
232,NC_007795.1,gene,130862,132067,+,protein_coding,SAOUHSC_00125,SAOUHSC_00125,NA,cap5L protein/glycosyltransferase
234,NC_007795.1,gene,132078,132635,+,protein_coding,SAOUHSC_00126,SAOUHSC_00126,NA,capsular polysaccharide biosynthesis protein Cap8M
236,NC_007795.1,gene,132635,133522,+,protein_coding,SAOUHSC_00127,SAOUHSC_00127,NA,cap5N protein/UDP-glucose 4-epimerase
238,NC_007795.1,gene,133576,134838,+,protein_coding,SAOUHSC_00128,SAOUHSC_00128,NA,cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
240,NC_007795.1,gene,134915,136060,+,protein_coding,SAOUHSC_00129,SAOUHSC_00129,NA,UDP-N-acetylglucosamine 2-epimerase
242,NC_007795.1,gene,136125,136451,-,protein_coding,SAOUHSC_00130,SAOUHSC_00130,NA,heme-degrading monooxygenase IsdI
244,NC_007795.1,gene,136458,136841,-,protein_coding,SAOUHSC_00131,SAOUHSC_00131,NA,hypothetical protein
246,NC_007795.1,gene,137268,138755,+,protein_coding,SAOUHSC_00132,SAOUHSC_00132,NA,aldehyde dehydrogenase
248,NC_007795.1,gene,139401,140360,+,protein_coding,SAOUHSC_00133,SAOUHSC_00133,NA,hypothetical protein
250,NC_007795.1,gene,140422,140625,-,protein_coding,SAOUHSC_00134,SAOUHSC_00134,NA,hypothetical protein
252,NC_007795.1,gene,140804,141316,+,protein_coding,SAOUHSC_00135,SAOUHSC_00135,NA,hypothetical protein
254,NC_007795.1,gene,141658,142398,+,protein_coding,SAOUHSC_00136,SAOUHSC_00136,NA,hypothetical protein
256,NC_007795.1,gene,142412,143386,+,protein_coding,SAOUHSC_00137,SAOUHSC_00137,NA,hypothetical protein
258,NC_007795.1,gene,143383,144144,+,protein_coding,SAOUHSC_00138,SAOUHSC_00138,NA,hypothetical protein
260,NC_007795.1,gene,144157,145188,+,protein_coding,SAOUHSC_00139,SAOUHSC_00139,NA,hypothetical protein
262,NC_007795.1,gene,145405,145764,+,protein_coding,SAOUHSC_00141,SAOUHSC_00141,NA,hypothetical protein
264,NC_007795.1,gene,145937,146962,+,protein_coding,SAOUHSC_00142,SAOUHSC_00142,NA,formate dehydrogenase
266,NC_007795.1,gene,147348,148598,+,protein_coding,SAOUHSC_00143,SAOUHSC_00143,NA,hypothetical protein
268,NC_007795.1,gene,149045,156220,+,protein_coding,SAOUHSC_00144,SAOUHSC_00144,NA,hypothetical protein
270,NC_007795.1,gene,156233,156877,+,protein_coding,SAOUHSC_00145,SAOUHSC_00145,NA,hypothetical protein
272,NC_007795.1,gene,157205,157684,-,protein_coding,SAOUHSC_00146,SAOUHSC_00146,NA,hypothetical protein
274,NC_007795.1,gene,157954,158718,-,protein_coding,SAOUHSC_00147,SAOUHSC_00147,NA,acetylglutamate kinase
276,NC_007795.1,gene,158734,159975,-,protein_coding,argJ,SAOUHSC_00148,NA,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
278,NC_007795.1,gene,159987,161018,-,protein_coding,argC,SAOUHSC_00149,NA,N-acetyl-gamma-glutamyl-phosphate reductase
280,NC_007795.1,gene,161057,162241,-,protein_coding,SAOUHSC_00150,SAOUHSC_00150,NA,ornithine aminotransferase
282,NC_007795.1,gene,162494,163849,-,protein_coding,SAOUHSC_00151,SAOUHSC_00151,NA,branched-chain amino acid transport system II carrier protein
284,NC_007795.1,gene,164125,164622,-,protein_coding,SAOUHSC_00152,SAOUHSC_00152,NA,hypothetical protein
286,NC_007795.1,gene,164749,166389,-,protein_coding,SAOUHSC_00153,SAOUHSC_00153,NA,indolepyruvate decarboxylase
288,NC_007795.1,gene,166583,166684,+,protein_coding,SAOUHSC_00154,SAOUHSC_00154,NA,hypothetical protein
290,NC_007795.1,gene,166663,168660,-,protein_coding,SAOUHSC_00155,SAOUHSC_00155,NA,PTS system glucose-specific protein
292,NC_007795.1,gene,169309,170349,+,protein_coding,SAOUHSC_00156,SAOUHSC_00156,NA,hypothetical protein
294,NC_007795.1,gene,170349,171245,+,protein_coding,murQ,SAOUHSC_00157,NA,N-acetylmuramic acid-6-phosphate etherase
296,NC_007795.1,gene,171257,172711,+,protein_coding,SAOUHSC_00158,SAOUHSC_00158,NA,PTS system transporter
298,NC_007795.1,gene,172714,173589,+,protein_coding,SAOUHSC_00160,SAOUHSC_00160,NA,hypothetical protein
300,NC_007795.1,gene,173783,174064,-,protein_coding,SAOUHSC_00161,SAOUHSC_00161,NA,hypothetical protein
302,NC_007795.1,gene,174277,177066,+,protein_coding,SAOUHSC_00162,SAOUHSC_00162,NA,HsdR family type I site-specific deoxyribonuclease
304,NC_007795.1,gene,177271,178113,+,protein_coding,SAOUHSC_00163,SAOUHSC_00163,NA,hypothetical protein
306,NC_007795.1,gene,178115,179038,+,protein_coding,SAOUHSC_00164,SAOUHSC_00164,NA,hypothetical protein
308,NC_007795.1,gene,179025,180137,+,protein_coding,SAOUHSC_00166,SAOUHSC_00166,NA,hypothetical protein
310,NC_007795.1,gene,180402,181994,-,protein_coding,SAOUHSC_00167,SAOUHSC_00167,NA,peptide ABC transporter ATP-binding protein
312,NC_007795.1,gene,181951,183429,+,protein_coding,SAOUHSC_00168,SAOUHSC_00168,NA,hypothetical protein
314,NC_007795.1,gene,183435,184598,+,protein_coding,SAOUHSC_00169,SAOUHSC_00169,NA,peptide ABC transporter permease
316,NC_007795.1,gene,184615,186390,+,protein_coding,SAOUHSC_00170,SAOUHSC_00170,NA,RGD-containing lipoprotein
318,NC_007795.1,gene,186428,188434,+,protein_coding,SAOUHSC_00171,SAOUHSC_00171,NA,gamma-glutamyltranspeptidase
320,NC_007795.1,gene,188732,189505,-,protein_coding,SAOUHSC_00172,SAOUHSC_00172,NA,hypothetical protein
322,NC_007795.1,gene,189695,190321,-,protein_coding,SAOUHSC_00173,SAOUHSC_00173,NA,azoreductase
324,NC_007795.1,gene,190530,191108,+,protein_coding,SAOUHSC_00174,SAOUHSC_00174,NA,M23/M37 peptidase domain-containing protein
326,NC_007795.1,gene,191491,192588,+,protein_coding,SAOUHSC_00175,SAOUHSC_00175,NA,multiple sugar-binding transport ATP-binding protein
328,NC_007795.1,gene,192601,193872,+,protein_coding,SAOUHSC_00176,SAOUHSC_00176,NA,extracellular solute-binding protein
330,NC_007795.1,gene,193875,195143,+,protein_coding,SAOUHSC_00177,SAOUHSC_00177,NA,maltose ABC transporter permease
332,NC_007795.1,gene,195145,195984,+,protein_coding,SAOUHSC_00178,SAOUHSC_00178,NA,maltose ABC transporter permease
334,NC_007795.1,gene,196058,197134,+,protein_coding,SAOUHSC_00179,SAOUHSC_00179,NA,hypothetical protein
336,NC_007795.1,gene,197159,198199,+,protein_coding,SAOUHSC_00180,SAOUHSC_00180,NA,hypothetical protein
338,NC_007795.1,gene,198254,199222,+,protein_coding,SAOUHSC_00181,SAOUHSC_00181,NA,hypothetical protein
340,NC_007795.1,gene,199583,200155,-,protein_coding,SAOUHSC_00182,SAOUHSC_00182,NA,hypothetical protein
342,NC_007795.1,gene,200310,201689,+,protein_coding,uhpT,SAOUHSC_00183,NA,sugar phosphate antiporter
344,NC_007795.1,gene,202048,202806,-,protein_coding,SAOUHSC_00184,SAOUHSC_00184,NA,response regulator receiver domain-containing protein
346,NC_007795.1,gene,202799,204355,-,protein_coding,SAOUHSC_00185,SAOUHSC_00185,NA,hypothetical protein
348,NC_007795.1,gene,204352,205320,-,protein_coding,SAOUHSC_00186,SAOUHSC_00186,NA,lipoprotein
350,NC_007795.1,gene,205908,208157,+,protein_coding,SAOUHSC_00187,SAOUHSC_00187,NA,formate acetyltransferase
352,NC_007795.1,gene,208180,208935,+,protein_coding,SAOUHSC_00188,SAOUHSC_00188,NA,pyruvate formate-lyase 1 activating enzyme
354,NC_007795.1,pseudogene,208925,209233,+,pseudogene,SAOUHSC_00189,SAOUHSC_00189,NA,NA
355,NC_007795.1,gene,209271,211034,+,protein_coding,SAOUHSC_00190,SAOUHSC_00190,NA,hypothetical protein
357,NC_007795.1,gene,211198,211542,-,protein_coding,SAOUHSC_00191,SAOUHSC_00191,NA,hypothetical protein
359,NC_007795.1,gene,211732,213642,+,protein_coding,SAOUHSC_00192,SAOUHSC_00192,NA,staphylocoagulase
361,NC_007795.1,gene,213824,213931,-,protein_coding,SAOUHSC_00193,SAOUHSC_00193,NA,hypothetical protein
363,NC_007795.1,gene,214246,215430,-,protein_coding,SAOUHSC_00195,SAOUHSC_00195,NA,acetyl-CoA acetyltransferase
365,NC_007795.1,gene,215460,217721,-,protein_coding,SAOUHSC_00196,SAOUHSC_00196,NA,hypothetical protein
367,NC_007795.1,gene,217907,219118,-,protein_coding,SAOUHSC_00197,SAOUHSC_00197,NA,hypothetical protein
369,NC_007795.1,gene,219230,220735,-,protein_coding,SAOUHSC_00198,SAOUHSC_00198,NA,hypothetical protein
371,NC_007795.1,gene,220761,222338,-,protein_coding,SAOUHSC_00199,SAOUHSC_00199,NA,acyl CoA:acetate/3-ketoacid CoA transferase
373,NC_007795.1,gene,222779,223921,+,protein_coding,SAOUHSC_00200,SAOUHSC_00200,NA,hypothetical protein
375,NC_007795.1,gene,224235,225647,-,protein_coding,SAOUHSC_00201,SAOUHSC_00201,NA,hypothetical protein
377,NC_007795.1,gene,225908,226264,-,protein_coding,SAOUHSC_00202,SAOUHSC_00202,NA,hypothetical protein
379,NC_007795.1,gene,226421,226594,-,protein_coding,SAOUHSC_00203,SAOUHSC_00203,NA,hypothetical protein
381,NC_007795.1,gene,226620,227765,-,protein_coding,SAOUHSC_00204,SAOUHSC_00204,NA,globin domain-containing protein
383,NC_007795.1,gene,227920,228027,+,protein_coding,SAOUHSC_00205,SAOUHSC_00205,NA,hypothetical protein
385,NC_007795.1,gene,228482,229291,+,protein_coding,SAOUHSC_00206,SAOUHSC_00206,NA,L-lactate dehydrogenase
387,NC_007795.1,gene,229502,229645,+,protein_coding,SAOUHSC_00208,SAOUHSC_00208,NA,hypothetical protein
389,NC_007795.1,gene,229611,231140,-,protein_coding,SAOUHSC_00209,SAOUHSC_00209,NA,PTS system glucose-specific transporter subunit IIBC
391,NC_007795.1,gene,231502,232437,+,protein_coding,SAOUHSC_00211,SAOUHSC_00211,NA,hypothetical protein
393,NC_007795.1,gene,232547,232645,+,protein_coding,SAOUHSC_00212,SAOUHSC_00212,NA,hypothetical protein
395,NC_007795.1,gene,232776,234872,+,protein_coding,SAOUHSC_00213,SAOUHSC_00213,NA,hypothetical protein
397,NC_007795.1,gene,234857,235324,+,protein_coding,SAOUHSC_00214,SAOUHSC_00214,NA,PTS system transporter subunit IIA
399,NC_007795.1,gene,235347,235625,+,protein_coding,SAOUHSC_00215,SAOUHSC_00215,NA,PTS system transporter
401,NC_007795.1,gene,235852,237111,+,protein_coding,SAOUHSC_00216,SAOUHSC_00216,NA,PTS system transporter
403,NC_007795.1,gene,237129,238184,+,protein_coding,SAOUHSC_00217,SAOUHSC_00217,NA,sorbitol dehydrogenase
405,NC_007795.1,gene,238186,238332,+,protein_coding,SAOUHSC_00218,SAOUHSC_00218,NA,hypothetical protein
407,NC_007795.1,gene,238356,239399,+,protein_coding,SAOUHSC_00219,SAOUHSC_00219,NA,hypothetical protein
409,NC_007795.1,gene,239969,240643,+,protein_coding,SAOUHSC_00220,SAOUHSC_00220,NA,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
411,NC_007795.1,gene,240636,241661,+,protein_coding,SAOUHSC_00221,SAOUHSC_00221,NA,alcohol dehydrogenase
413,NC_007795.1,gene,241836,243377,+,protein_coding,SAOUHSC_00222,SAOUHSC_00222,NA,teichoic acid biosynthesis protein TagB
415,NC_007795.1,gene,243805,244974,+,protein_coding,SAOUHSC_00223,SAOUHSC_00223,NA,teichoic acid biosynthesis protein F
417,NC_007795.1,gene,245250,245966,+,protein_coding,ispD,SAOUHSC_00225,NA,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
419,NC_007795.1,gene,245959,246984,+,protein_coding,SAOUHSC_00226,SAOUHSC_00226,NA,hypothetical protein
421,NC_007795.1,gene,247006,248694,+,protein_coding,SAOUHSC_00227,SAOUHSC_00227,NA,hypothetical protein
423,NC_007795.1,gene,248727,250451,+,protein_coding,SAOUHSC_00228,SAOUHSC_00228,NA,hypothetical protein
425,NC_007795.1,gene,250591,251265,+,protein_coding,SAOUHSC_00229,SAOUHSC_00229,NA,cell wall biosynthesis protein ScdA
427,NC_007795.1,gene,251527,253266,+,protein_coding,SAOUHSC_00230,SAOUHSC_00230,NA,two-component sensor histidine kinase
429,NC_007795.1,gene,253269,254009,+,protein_coding,SAOUHSC_00231,SAOUHSC_00231,NA,two-component response regulator
431,NC_007795.1,gene,254122,254565,+,protein_coding,SAOUHSC_00232,SAOUHSC_00232,NA,murein hydrolase regulator LrgA
433,NC_007795.1,gene,254558,255259,+,protein_coding,SAOUHSC_00233,SAOUHSC_00233,NA,antiholin-like protein LrgB
435,NC_007795.1,gene,255367,256071,-,protein_coding,SAOUHSC_00234,SAOUHSC_00234,NA,hypothetical protein
437,NC_007795.1,gene,256220,257011,+,protein_coding,SAOUHSC_00235,SAOUHSC_00235,NA,hypothetical protein
