,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
42,NC_011916.1,gene,18492,18731,-,protein_coding,moaD,CCNA_00017,NA,molybdopterin converting factor%2C small subunit
44,NC_011916.1,gene,18735,19784,-,protein_coding,moaA,CCNA_00018,NA,molybdenum cofactor biosynthesis protein A
46,NC_011916.1,gene,19815,20447,+,protein_coding,CCNA_00019,CCNA_00019,NA,molybdopterin-guanine dinucleotide biosynthesis protein A
48,NC_011916.1,gene,20444,20668,-,protein_coding,CCNA_00020,CCNA_00020,NA,hypothetical protein
50,NC_011916.1,gene,20665,20778,-,protein_coding,CCNA_03911,CCNA_03911,NA,hypothetical protein
52,NC_011916.1,gene,20840,23032,-,protein_coding,CCNA_00021,CCNA_00021,NA,putative aerobic-type carbon monoxide dehydrogenase%2C large subunit CoxL
54,NC_011916.1,gene,23029,23559,-,protein_coding,CCNA_00022,CCNA_00022,NA,putative aerobic-type carbon monoxide dehydrogenase%2C small subunit CoxS
56,NC_011916.1,gene,23742,24074,+,protein_coding,CCNA_00023,CCNA_00023,NA,mliC-family lysozyme inhibitor protein
58,NC_011916.1,gene,24091,24981,+,protein_coding,CCNA_00024,CCNA_00024,NA,uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase
60,NC_011916.1,gene,24991,26643,-,protein_coding,CCNA_00025,CCNA_00025,NA,major facilitator superfamily transporter
62,NC_011916.1,gene,26701,29403,-,protein_coding,cckO,CCNA_00026,NA,PAS-family sensor histidine kinase CckO
64,NC_011916.1,gene,29502,30191,-,protein_coding,CCNA_00027,CCNA_00027,NA,2OG-Fe(II) oxygenase
66,NC_011916.1,gene,30271,30354,-,ncRNA,CCNA_R0097,CCNA_R0097,NA,NA
69,NC_011916.1,gene,30337,32658,-,protein_coding,CCNA_00028,CCNA_00028,NA,TonB-dependent receptor
71,NC_011916.1,gene,32914,33546,+,protein_coding,CCNA_00029,CCNA_00029,NA,RhtB-family efflux protein
73,NC_011916.1,gene,33595,34329,+,protein_coding,CCNA_00030,CCNA_00030,NA,Ribonuclease I
75,NC_011916.1,gene,34312,34698,-,protein_coding,vapC,CCNA_00031,NA,toxin protein VapC
77,NC_011916.1,gene,34699,34941,-,protein_coding,vapB,CCNA_00032,NA,antitoxin protein VapB
79,NC_011916.1,gene,35047,35667,-,protein_coding,CCNA_03912,CCNA_03912,NA,hypothetical protein
82,NC_011916.1,gene,35824,37962,-,protein_coding,pnp,CCNA_00033,NA,polyribonucleotide nucleotidyltransferase
84,NC_011916.1,gene,38211,38480,-,protein_coding,CCNA_00034,CCNA_00034,NA,SSU ribosomal protein S15P
86,NC_011916.1,gene,38495,39427,-,protein_coding,CCNA_00035,CCNA_00035,NA,tRNA pseudouridine synthase B
88,NC_011916.1,gene,39430,39879,-,protein_coding,CCNA_00036,CCNA_00036,NA,ribosome-binding factor A
90,NC_011916.1,gene,39980,40768,-,protein_coding,CCNA_00037,CCNA_00037,NA,Dienelactone hydrolase-family protein
92,NC_011916.1,gene,40828,41403,-,protein_coding,CCNA_00038,CCNA_00038,NA,hypothetical protein
94,NC_011916.1,gene,41403,41921,-,protein_coding,CCNA_00039,CCNA_00039,NA,hypothetical protein
96,NC_011916.1,gene,41960,42511,-,protein_coding,CCNA_00040,CCNA_00040,NA,YcxB-like membrane protein
98,NC_011916.1,gene,42585,45614,-,protein_coding,CCNA_00041,CCNA_00041,NA,protein translation initiation factor 2 IF-2
100,NC_011916.1,gene,45805,46002,-,ncRNA,CCNA_R0098,CCNA_R0098,NA,NA
103,NC_011916.1,gene,45893,46543,-,protein_coding,CCNA_00042,CCNA_00042,NA,RNA-binding protein%2C YlxR family
105,NC_011916.1,gene,46622,48268,-,protein_coding,nusA,CCNA_00043,NA,Transcription termination/antitermination protein NusA
107,NC_011916.1,gene,48271,48846,-,protein_coding,CCNA_00044,CCNA_00044,NA,ribosome maturation protein RimP
109,NC_011916.1,gene,49105,49638,+,protein_coding,CCNA_00045,CCNA_00045,NA,inorganic pyrophosphatase
111,NC_011916.1,gene,49645,50031,-,protein_coding,CCNA_00046,CCNA_00046,NA,hypothetical protein
113,NC_011916.1,gene,50132,50812,-,protein_coding,CCNA_00047,CCNA_00047,NA,tRNA m7-G46 methyltransferase
115,NC_011916.1,gene,50902,52125,-,protein_coding,metK,CCNA_00048,NA,S-adenosylmethionine synthetase
117,NC_011916.1,gene,52245,52679,-,protein_coding,hipB,CCNA_00049,NA,HTH transcriptional regulator
119,NC_011916.1,gene,52707,54299,-,protein_coding,lnt,CCNA_00050,NA,apolipoprotein N-acyltransferase Lnt
121,NC_011916.1,gene,54296,55222,-,protein_coding,corC,CCNA_00051,NA,magnesium and cobalt efflux protein CorC
123,NC_011916.1,gene,55231,55686,-,protein_coding,CCNA_00052,CCNA_00052,NA,YbeY-family hydrolase
125,NC_011916.1,gene,55724,56668,-,protein_coding,phoH,CCNA_00053,NA,phosphate starvation-inducible protein PhoH
127,NC_011916.1,gene,56665,58011,-,protein_coding,CCNA_00054,CCNA_00054,NA,tRNA 2-methylthioadenosine synthase
129,NC_011916.1,gene,58201,58608,-,protein_coding,CCNA_00055,CCNA_00055,NA,ferric uptake regulation protein
131,NC_011916.1,gene,58654,59106,-,protein_coding,CCNA_00056,CCNA_00056,NA,ribosomal-protein-S18-alanine acetyltransferase
133,NC_011916.1,gene,59115,59750,-,protein_coding,CCNA_00057,CCNA_00057,NA,tRNA threonylcarbamoyl adenosine modification protein%2C YeaZ family
135,NC_011916.1,gene,59754,60386,-,protein_coding,CCNA_00058,CCNA_00058,NA,hypothetical protein
137,NC_011916.1,gene,60534,61121,-,protein_coding,CCNA_00059,CCNA_00059,NA,malonic semialdehyde reductase
139,NC_011916.1,gene,61191,61763,-,protein_coding,CCNA_00060,CCNA_00060,NA,mitochondrial-type Fe-S cluster assembly protein NFU
141,NC_011916.1,gene,61885,63153,+,protein_coding,CCNA_00061,CCNA_00061,NA,cytochrome p450
143,NC_011916.1,gene,63327,64361,-,protein_coding,trpS,CCNA_00062,NA,tryptophanyl-tRNA synthetase
145,NC_011916.1,gene,64440,64487,-,protein_coding,CCNA_03913,CCNA_03913,NA,hypothetical protein
147,NC_011916.1,gene,64529,66091,-,protein_coding,mviN,CCNA_00063,NA,Peptidoglycan biosynthesis protein MviN/MurJ
149,NC_011916.1,gene,66331,68127,-,protein_coding,CCNA_00064,CCNA_00064,NA,methyl-accepting chemotaxis protein
151,NC_011916.1,gene,68179,68196,-,protein_coding,CCNA_03914,CCNA_03914,NA,hypothetical protein
153,NC_011916.1,gene,68289,69062,-,protein_coding,CCNA_00065,CCNA_00065,NA,S-adenosylmethionine-dependent methyltransferase
155,NC_011916.1,gene,69120,69488,-,protein_coding,CCNA_00066,CCNA_00066,NA,Rieske (2Fe-2S) domain protein
157,NC_011916.1,gene,69493,69774,-,protein_coding,CCNA_00067,CCNA_00067,NA,YciI-like protein
159,NC_011916.1,gene,69794,70804,-,protein_coding,gpsA,CCNA_00068,NA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
161,NC_011916.1,gene,70801,71904,-,protein_coding,CCNA_00069,CCNA_00069,NA,tRNA threonylcarbamoyl adenosine modification protein TsaD
163,NC_011916.1,gene,71977,72945,+,protein_coding,CCNA_00070,CCNA_00070,NA,porphobilinogen deaminase
165,NC_011916.1,gene,72950,73636,+,protein_coding,CCNA_00071,CCNA_00071,NA,uroporphyrinogen-III synthase
167,NC_011916.1,gene,73680,74576,+,protein_coding,CCNA_00072,CCNA_00072,NA,hypothetical protein
169,NC_011916.1,gene,74573,76108,+,protein_coding,CCNA_00073,CCNA_00073,NA,HemY domain membrane protein
171,NC_011916.1,gene,76150,76225,+,tRNA,CCNA_R0001,CCNA_R0001,NA,NA
174,NC_011916.1,gene,76477,78678,-,protein_coding,CCNA_00074,CCNA_00074,NA,multifunctional fatty acid oxidation complex subunit alpha FadJ
176,NC_011916.1,gene,78703,79908,-,protein_coding,CCNA_00075,CCNA_00075,NA,3-ketoacyl-CoA thiolase
178,NC_011916.1,gene,79975,80358,-,protein_coding,CCNA_00076,CCNA_00076,NA,hypothetical protein
180,NC_011916.1,gene,80355,81530,-,protein_coding,CCNA_00077,CCNA_00077,NA,acyl-CoA dehydrogenase%2C long-chain specific
182,NC_011916.1,gene,81533,83326,-,protein_coding,CCNA_00078,CCNA_00078,NA,acyl-CoA dehydrogenase
184,NC_011916.1,gene,83414,83893,-,protein_coding,CCNA_00079,CCNA_00079,NA,MerR-family transcriptional regulator
186,NC_011916.1,gene,84087,84728,+,protein_coding,CCNA_00080,CCNA_00080,NA,LexA-related transcriptional repressor
188,NC_011916.1,gene,84763,84972,-,protein_coding,CCNA_00081,CCNA_00081,NA,hypothetical protein
190,NC_011916.1,gene,85222,86880,-,protein_coding,lysS,CCNA_00082,NA,class 1 lysyl-tRNA synthetase
192,NC_011916.1,gene,87043,88683,-,protein_coding,CCNA_00083,CCNA_00083,NA,phosphoglucomutase/phosphomannomutase
194,NC_011916.1,gene,89053,90642,+,protein_coding,purH,CCNA_00084,NA,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
196,NC_011916.1,gene,90655,91413,+,protein_coding,CCNA_00085,CCNA_00085,NA,dienelactone hydrolase-related protein
198,NC_011916.1,gene,91467,96290,-,protein_coding,gdhZ,CCNA_00086,NA,NAD-specific glutamate dehydrogenase GdhZ
200,NC_011916.1,gene,96456,96584,-,ncRNA,CCNA_R0002,CCNA_R0002,NA,NA
203,NC_011916.1,gene,96628,97737,-,protein_coding,CCNA_00087,CCNA_00087,NA,PerM-family permease
205,NC_011916.1,gene,97841,99385,+,protein_coding,CCNA_00088,CCNA_00088,NA,HerA helicase-related ATPase
207,NC_011916.1,gene,99466,101895,-,protein_coding,CCNA_00089,CCNA_00089,NA,MHYT/PAS-family GGDEF/EAL protein
209,NC_011916.1,gene,101960,102943,-,protein_coding,CCNA_00090,CCNA_00090,NA,UDP-glucose 4-epimerase
211,NC_011916.1,gene,103149,104042,-,protein_coding,CCNA_00091,CCNA_00091,NA,transporter%2C drug/metabolite exporter family
213,NC_011916.1,gene,104039,104929,-,protein_coding,CCNA_00092,CCNA_00092,NA,short chain dehydrogenase
215,NC_011916.1,gene,105028,105237,-,protein_coding,CCNA_00093,CCNA_00093,NA,hypothetical protein
217,NC_011916.1,gene,105310,106230,-,protein_coding,hfsJ,CCNA_00094,NA,"experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling,required for production of the holdfast polar adhesin[doi: 10.1371/journal.pgen.1004101]"
219,NC_011916.1,gene,106334,107332,-,protein_coding,CCNA_00095,CCNA_00095,NA,quinone oxidoreductase
221,NC_011916.1,gene,107402,108280,+,protein_coding,CCNA_00096,CCNA_00096,NA,L-asparaginase
223,NC_011916.1,gene,108334,108792,+,protein_coding,CCNA_00097,CCNA_00097,NA,hypothetical protein
226,NC_011916.1,gene,108943,109233,-,protein_coding,CCNA_00098,CCNA_00098,NA,hypothetical protein
228,NC_011916.1,gene,109239,110969,-,protein_coding,fzlC,CCNA_00099,NA,FtsZ-binding protein FzlC
230,NC_011916.1,gene,110979,111638,-,protein_coding,CCNA_00100,CCNA_00100,NA,Ribulose-5-phosphate 3-epimerase
232,NC_011916.1,gene,111745,113034,-,protein_coding,rsmB,CCNA_00101,NA,16S rRNA m5C methyltransferase RsmB
234,NC_011916.1,gene,113151,113375,+,protein_coding,CCNA_00102,CCNA_00102,NA,hypothetical protein
236,NC_011916.1,gene,113463,115160,+,protein_coding,CCNA_00103,CCNA_00103,NA,gamma-glutamyltranspeptidase
238,NC_011916.1,gene,115289,115990,-,protein_coding,CCNA_00104,CCNA_00104,NA,orotidine 5'-phosphate decarboxylase
240,NC_011916.1,gene,116088,116786,+,protein_coding,CCNA_00105,CCNA_00105,NA,MarC family integral membrane protein
242,NC_011916.1,gene,116834,118099,+,protein_coding,CCNA_00106,CCNA_00106,NA,2-polyprenyl-6-methoxyphenol hydroxylase
244,NC_011916.1,gene,118260,118457,-,protein_coding,CCNA_00107,CCNA_00107,NA,Trm112p-like protein
246,NC_011916.1,gene,118467,119144,-,protein_coding,CCNA_00108,CCNA_00108,NA,lon endopeptidase-related protein
248,NC_011916.1,gene,119160,120059,-,protein_coding,cnoX,CCNA_00109,NA,chaperedoxin CnoX
250,NC_011916.1,gene,120169,120675,-,protein_coding,CCNA_00110,CCNA_00110,NA,RNA-binding protein ProXp-ala
252,NC_011916.1,gene,120752,121498,+,protein_coding,CCNA_00111,CCNA_00111,NA,hypothetical protein
254,NC_011916.1,gene,121503,121892,+,protein_coding,CCNA_00112,CCNA_00112,NA,glyoxalase family protein
256,NC_011916.1,gene,121972,122544,+,protein_coding,CCNA_00113,CCNA_00113,NA,hypothetical protein
258,NC_011916.1,gene,122547,122852,+,protein_coding,CCNA_00114,CCNA_00114,NA,MarR/EmrR-family transcriptional regulator
260,NC_011916.1,gene,122939,126268,+,protein_coding,CCNA_00115,CCNA_00115,NA,TolB protein
262,NC_011916.1,gene,124027,124282,-,ncRNA,CCNA_R0099,CCNA_R0099,NA,NA
265,NC_011916.1,gene,126407,127753,-,protein_coding,glmM,CCNA_00116,NA,phosphoglucosamine mutase
267,NC_011916.1,gene,127915,129735,+,protein_coding,glmS,CCNA_00117,NA,glucosamine-fructose-6-phosphate aminotransferase%2C isomerizing
269,NC_011916.1,gene,129746,131989,+,protein_coding,CCNA_00118,CCNA_00118,NA,O-linked N-acetylglucosamine transferase%2C SPINDLY family
271,NC_011916.1,gene,131977,132438,+,protein_coding,CCNA_00119,CCNA_00119,NA,S-adenosylmethionine-dependent methyltransferase
273,NC_011916.1,gene,132435,132953,+,protein_coding,CCNA_00120,CCNA_00120,NA,N-acetyltransferase family protein
275,NC_011916.1,gene,132950,133408,-,protein_coding,CCNA_00121,CCNA_00121,NA,hypothetical protein
277,NC_011916.1,gene,133417,133827,-,protein_coding,CCNA_00122,CCNA_00122,NA,YkvA-family membrane protein
279,NC_011916.1,gene,133900,134682,+,protein_coding,CCNA_00123,CCNA_00123,NA,3-hydroxyacyl CoA dehydrogenase
281,NC_011916.1,gene,134826,135413,-,protein_coding,CCNA_00124,CCNA_00124,NA,hypothetical protein
283,NC_011916.1,gene,135509,136177,-,protein_coding,CCNA_00125,CCNA_00125,NA,amino acid efflux permease
285,NC_011916.1,gene,136184,136591,-,protein_coding,CCNA_00126,CCNA_00126,NA,glutathione S-transferase
287,NC_011916.1,gene,136811,137011,+,protein_coding,CCNA_00127,CCNA_00127,NA,KTSC domain protein
289,NC_011916.1,gene,137246,138472,-,protein_coding,CCNA_00128,CCNA_00128,NA,argininosuccinate synthase
291,NC_011916.1,gene,138555,138917,-,protein_coding,CCNA_00129,CCNA_00129,NA,hypothetical protein
293,NC_011916.1,gene,138921,140918,-,protein_coding,CCNA_00130,CCNA_00130,NA,Kup system potassium uptake protein
295,NC_011916.1,gene,141119,141541,+,protein_coding,CCNA_00131,CCNA_00131,NA,Rrf2 family protein
297,NC_011916.1,gene,141633,142433,+,protein_coding,hetN,CCNA_00132,NA,ketoacyl reductase hetN
299,NC_011916.1,gene,142680,143894,+,protein_coding,CCNA_00133,CCNA_00133,NA,radical SAM family enzyme
301,NC_011916.1,gene,143989,144417,+,protein_coding,CCNA_00134,CCNA_00134,NA,YjfL-family membrane protein
303,NC_011916.1,gene,144443,145276,+,protein_coding,CCNA_00135,CCNA_00135,NA,trypsin-like peptidase
305,NC_011916.1,gene,145273,146952,-,protein_coding,CCNA_00136,CCNA_00136,NA,AmpG-family major facilitator transporter
307,NC_011916.1,gene,146986,148530,-,protein_coding,shkA,CCNA_00137,NA,hybrid two-component histidine kinase/receiver protein ShkA
309,NC_011916.1,gene,148752,150944,+,protein_coding,CCNA_00138,CCNA_00138,NA,TonB-dependent receptor
311,NC_011916.1,gene,150993,152600,-,protein_coding,chlI,CCNA_00139,NA,magnesium chelatase subunit ChlI-like ATPase
313,NC_011916.1,gene,152709,153662,-,protein_coding,CCNA_00140,CCNA_00140,NA,glutathione synthetase
315,NC_011916.1,gene,153718,154533,-,protein_coding,CCNA_00141,CCNA_00141,NA,SirB1-family tetratricopeptide repeat protein
317,NC_011916.1,gene,154535,154912,-,protein_coding,CCNA_00142,CCNA_00142,NA,endonuclease
319,NC_011916.1,gene,154912,155784,-,protein_coding,CCNA_00143,CCNA_00143,NA,ribosomal RNA small subunit methyltransferase I
321,NC_011916.1,gene,155819,156973,-,protein_coding,CCNA_00144,CCNA_00144,NA,oxygen-independent coproporphyrinogen-III oxidase
323,NC_011916.1,gene,156966,157568,-,protein_coding,CCNA_00145,CCNA_00145,NA,xanthosine triphosphate pyrophosphatase
325,NC_011916.1,gene,157593,158186,+,protein_coding,CCNA_00146,CCNA_00146,NA,glutathione S-transferase
327,NC_011916.1,gene,158354,158470,+,protein_coding,CCNA_00147,CCNA_00147,NA,hypothetical protein
329,NC_011916.1,gene,158546,159079,+,protein_coding,CCNA_00148,CCNA_00148,NA,hypothetical protein
331,NC_011916.1,gene,159096,159323,+,protein_coding,CCNA_00149,CCNA_00149,NA,Cro/CI-family transcriptional regulator
333,NC_011916.1,gene,159320,160297,-,protein_coding,CCNA_00150,CCNA_00150,NA,Periplasmic serine protease%2C S1-C subfamily
335,NC_011916.1,gene,160464,161180,-,protein_coding,CCNA_00151,CCNA_00151,NA,ribonuclease PH
337,NC_011916.1,gene,161320,162396,+,protein_coding,CCNA_00152,CCNA_00152,NA,winged helix-turn-helix transcription repressor HrcA
339,NC_011916.1,gene,162409,163035,+,protein_coding,grpE,CCNA_00153,NA,adenine nucleotide exchange factor GrpE
341,NC_011916.1,gene,162975,163235,-,protein_coding,CCNA_00154,CCNA_00154,NA,hypothetical protein
343,NC_011916.1,gene,163413,164531,+,protein_coding,CCNA_00155,CCNA_00155,NA,DNA polymerase III%2C beta chain
345,NC_011916.1,gene,164664,164951,+,protein_coding,CCNA_00156,CCNA_00156,NA,ArsR-family transcriptional regulator
347,NC_011916.1,gene,165022,165393,+,protein_coding,CCNA_00157,CCNA_00157,NA,glyoxalase family protein
349,NC_011916.1,gene,165492,165575,+,ncRNA,chvR,CCNA_R0100,NA,NA
352,NC_011916.1,gene,165621,166784,+,protein_coding,recF,CCNA_00158,NA,DNA replication and repair protein recF
354,NC_011916.1,gene,166781,169246,+,protein_coding,gyrB,CCNA_00159,NA,DNA gyrase subunit B
356,NC_011916.1,gene,169387,170526,+,protein_coding,CCNA_00160,CCNA_00160,NA,methyl-accepting chemotaxis protein
358,NC_011916.1,gene,170951,171577,+,protein_coding,CCNA_00161,CCNA_00161,NA,hypothetical protein
360,NC_011916.1,gene,171649,172917,+,protein_coding,CCNA_00162,CCNA_00162,NA,beta-barrel type 2 porin
362,NC_011916.1,gene,172964,175183,+,protein_coding,CCNA_00163,CCNA_00163,NA,exopolysaccharide transport family protein
364,NC_011916.1,gene,175173,177098,+,protein_coding,CCNA_00164,CCNA_00164,NA,O-antigen polymerase
367,NC_011916.1,gene,177092,177745,-,protein_coding,pssY,CCNA_00165,NA,polyisoprenylphosphate hexose-1-phosphotransferase pssY
369,NC_011916.1,gene,177944,178090,+,protein_coding,CCNA_03915,CCNA_03915,NA,hypothetical protein
371,NC_011916.1,gene,178252,179070,-,protein_coding,hvyA,CCNA_00166,NA,transglutaminase-like cysteine proteinase HvyA
373,NC_011916.1,gene,179311,180120,+,protein_coding,CCNA_00167,CCNA_00167,NA,metallophosphatase family protein
375,NC_011916.1,gene,180205,180801,+,protein_coding,CCNA_00168,CCNA_00168,NA,polysaccharide export protein
377,NC_011916.1,gene,181379,182917,+,protein_coding,CCNA_00169,CCNA_00169,NA,hypothetical protein
379,NC_011916.1,gene,182997,185663,+,protein_coding,CCNA_00170,CCNA_00170,NA,TonB-dependent receptor
381,NC_011916.1,gene,185853,186290,+,protein_coding,CCNA_00171,CCNA_00171,NA,type II secretion pathway protein C
383,NC_011916.1,gene,186287,188350,+,protein_coding,pulD,CCNA_00172,NA,type II secretion pathway protein D
385,NC_011916.1,gene,188347,189822,+,protein_coding,pulE,CCNA_00173,NA,type II secretion pathway protein E
387,NC_011916.1,gene,189809,191020,+,protein_coding,pulF,CCNA_00174,NA,type II secretion pathway protein F
389,NC_011916.1,gene,191032,191484,+,protein_coding,CCNA_00175,CCNA_00175,NA,type II secretion pathway protein G
391,NC_011916.1,gene,191399,191956,+,protein_coding,CCNA_00176,CCNA_00176,NA,type II secretion pathway protein H
393,NC_011916.1,gene,191925,192308,+,protein_coding,CCNA_00177,CCNA_00177,NA,type II secretion pathway protein I
395,NC_011916.1,gene,192305,192895,+,protein_coding,CCNA_00178,CCNA_00178,NA,type II secretion pathway protein J
397,NC_011916.1,gene,192892,193866,+,protein_coding,CCNA_00179,CCNA_00179,NA,type II secretion pathway protein K
399,NC_011916.1,gene,193848,194954,+,protein_coding,CCNA_00180,CCNA_00180,NA,type II secretion pathway protein L
401,NC_011916.1,gene,194951,195427,+,protein_coding,CCNA_00181,CCNA_00181,NA,type II secretion pathway protein M
403,NC_011916.1,gene,195424,196140,+,protein_coding,CCNA_00182,CCNA_00182,NA,type II secretion pathway protein N
405,NC_011916.1,gene,196250,197011,-,protein_coding,pulO,CCNA_00183,NA,type II secretory pathway%2C prepilin signal peptidase
407,NC_011916.1,gene,197070,197267,-,protein_coding,CCNA_00184,CCNA_00184,NA,hypothetical protein
409,NC_011916.1,gene,197285,199810,-,protein_coding,CCNA_00185,CCNA_00185,NA,TonB-dependent receptor
411,NC_011916.1,gene,200125,200201,-,tRNA,CCNA_R0003,CCNA_R0003,NA,NA
414,NC_011916.1,gene,200286,201602,-,protein_coding,CCNA_00186,CCNA_00186,NA,guanine-hypoxanthine permease
416,NC_011916.1,gene,201599,202681,-,protein_coding,CCNA_00187,CCNA_00187,NA,NUP-family purine nucleoside permease
418,NC_011916.1,gene,202763,203725,-,protein_coding,CCNA_00188,CCNA_00188,NA,ABC transporter ATP-binding protein
420,NC_011916.1,gene,203869,204135,+,protein_coding,CCNA_00189,CCNA_00189,NA,zinc-finger domain protein
422,NC_011916.1,gene,204137,204571,+,protein_coding,CCNA_00190,CCNA_00190,NA,acyl-CoA hydrolase
424,NC_011916.1,gene,204697,205173,+,protein_coding,CCNA_00191,CCNA_00191,NA,N-acetylglutamate synthase domain protein
426,NC_011916.1,gene,205174,206793,-,protein_coding,CCNA_00192,CCNA_00192,NA,long-chain-fatty-acid--CoA ligase
428,NC_011916.1,gene,206989,208041,-,protein_coding,leuB,CCNA_00193,NA,3-isopropylmalate dehydrogenase
430,NC_011916.1,gene,208043,208345,-,protein_coding,CCNA_00194,CCNA_00194,NA,YgiN-family quinol monooxygenase
432,NC_011916.1,gene,208487,209095,-,protein_coding,leuD,CCNA_00195,NA,3-isopropylmalate dehydratase small subunit
434,NC_011916.1,gene,209092,210531,-,protein_coding,leuC,CCNA_00196,NA,3-isopropylmalate dehydratase large subunit
436,NC_011916.1,gene,210637,210769,-,ncRNA,CCNA_R0004,CCNA_R0004,NA,NA
439,NC_011916.1,gene,211121,211522,-,protein_coding,rplS,CCNA_00197,NA,LSU ribosomal protein L19P
441,NC_011916.1,gene,211519,212256,-,protein_coding,trmD,CCNA_00198,NA,tRNA (guanine-N1)-methyltransferase
444,NC_011916.1,gene,212387,214267,+,protein_coding,cpaL,CCNA_00199,NA,TadG/vWA-family protein CpaL
446,NC_011916.1,gene,214320,215255,-,protein_coding,CCNA_00200,CCNA_00200,NA,2OG-Fe(II) oxygenase superfamily protein
448,NC_011916.1,gene,215418,216098,+,protein_coding,CCNA_00201,CCNA_00201,NA,outer membrane protein
450,NC_011916.1,gene,216215,217270,+,protein_coding,CCNA_00202,CCNA_00202,NA,DesA-family fatty acid desaturase
452,NC_011916.1,gene,217328,218332,+,protein_coding,CCNA_00203,CCNA_00203,NA,sterol desaturase family protein
454,NC_011916.1,gene,218336,220237,-,protein_coding,kefB,CCNA_00204,NA,glutathione-regulated potassium-efflux system protein kefB
456,NC_011916.1,gene,220241,220822,-,protein_coding,CCNA_00205,CCNA_00205,NA,NAD(P)H-quinone reductase
458,NC_011916.1,gene,220822,221085,-,protein_coding,CCNA_03916,CCNA_03916,NA,hypothetical protein
460,NC_011916.1,gene,220931,221641,+,protein_coding,CCNA_00206,CCNA_00206,NA,succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A
462,NC_011916.1,gene,221641,222282,+,protein_coding,CCNA_00207,CCNA_00207,NA,succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B
464,NC_011916.1,gene,222283,223272,-,protein_coding,CCNA_00208,CCNA_00208,NA,type 1 glutamine amidotransferase (GATase1)-like domain protein
466,NC_011916.1,gene,223353,224927,-,protein_coding,CCNA_00209,CCNA_00209,NA,undecaprenyl-phosphomannose:protein mannosyltransferase
468,NC_011916.1,gene,225115,227526,+,protein_coding,CCNA_00210,CCNA_00210,NA,TonB-dependent receptor
470,NC_011916.1,gene,227686,228693,+,protein_coding,aguA,CCNA_00211,NA,Agmatine/peptidylarginine deiminase
472,NC_011916.1,gene,228693,229571,+,protein_coding,aguB,CCNA_00212,NA,N-carbamoylputrescine amidase
474,NC_011916.1,gene,229568,230116,+,protein_coding,CCNA_00213,CCNA_00213,NA,ribosomal-protein-alanine acetyltransferase
476,NC_011916.1,gene,230262,232307,+,protein_coding,znuL,CCNA_00214,NA,TonB-dependent receptor
