,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
54,NC_007618.1,gene,27871,29571,+,protein_coding,BAB_RS16055,BAB_RS16055,BAB1_0025,30S ribosomal protein S1
56,NC_007618.1,gene,29989,31008,-,protein_coding,BAB_RS16060,BAB_RS16060,BAB1_0026,putative sulfate exporter family transporter
58,NC_007618.1,gene,31115,32014,+,protein_coding,BAB_RS16065,BAB_RS16065,BAB1_0027,LysR family transcriptional regulator
60,NC_007618.1,pseudogene,32008,32583,-,pseudogene,BAB_RS31940,BAB_RS31940,NA,hypothetical protein
62,NC_007618.1,gene,32619,33902,-,protein_coding,BAB_RS16070,BAB_RS16070,BAB1_0028,lytic murein transglycosylase
64,NC_007618.1,gene,33918,34523,-,protein_coding,BAB_RS16075,BAB_RS16075,BAB1_0029,recombination protein RecR
66,NC_007618.1,gene,34654,34977,-,protein_coding,BAB_RS16080,BAB_RS16080,BAB1_0030,YbaB/EbfC family nucleoid-associated protein
68,NC_007618.1,gene,35002,36810,-,protein_coding,BAB_RS16085,BAB_RS16085,BAB1_0031,DNA polymerase III subunit gamma/tau
70,NC_007618.1,gene,36924,37021,-,SRP_RNA,ffs,BAB_RS31945,BAB1_2188,NA
73,NC_007618.1,gene,37092,37496,+,protein_coding,BAB_RS16090,BAB_RS16090,BAB1_0032,HIT family protein
75,NC_007618.1,gene,37525,38472,+,protein_coding,BAB_RS16095,BAB_RS16095,BAB1_0033,NAD(+) diphosphatase
77,NC_007618.1,gene,38473,39336,-,protein_coding,BAB_RS16100,BAB_RS16100,BAB1_0034,prephenate dehydratase
79,NC_007618.1,gene,39425,40180,-,protein_coding,BAB_RS16105,BAB_RS16105,BAB1_0035,3-deoxy-manno-octulosonate cytidylyltransferase
81,NC_007618.1,gene,40558,41166,+,protein_coding,BAB_RS16110,BAB_RS16110,BAB1_0036,cytochrome c family protein
83,NC_007618.1,gene,41211,42176,-,protein_coding,BAB_RS16115,BAB_RS16115,BAB1_0037,hypothetical protein
85,NC_007618.1,gene,42715,43728,+,protein_coding,BAB_RS16120,BAB_RS16120,BAB1_0038,ubiquinol oxidase subunit II
87,NC_007618.1,gene,43808,44920,+,protein_coding,BAB_RS31950,BAB_RS31950,BAB1_0039,cytochrome aa3 quinol oxidase subunit I
89,NC_007618.1,gene,44935,45786,+,protein_coding,BAB_RS31955,BAB_RS31955,BAB1_0040,ubiquinol oxidase
91,NC_007618.1,gene,45790,46419,+,protein_coding,BAB_RS16130,BAB_RS16130,BAB1_0041,cytochrome o ubiquinol oxidase subunit III
93,NC_007618.1,gene,46419,46784,+,protein_coding,BAB_RS16135,BAB_RS16135,BAB1_0042,cytochrome o ubiquinol oxidase subunit IV
95,NC_007618.1,gene,46781,47059,-,protein_coding,BAB_RS31960,BAB_RS31960,BAB1_0043,hypothetical protein
97,NC_007618.1,gene,47235,47747,+,protein_coding,BAB_RS16140,BAB_RS16140,NA,SH3 domain-containing protein
99,NC_007618.1,gene,48232,50151,+,protein_coding,BAB_RS16145,BAB_RS16145,BAB1_0045,outer membrane protein assembly factor
101,NC_007618.1,gene,50148,54887,+,protein_coding,BAB_RS16150,BAB_RS16150,BAB1_0046,translocation/assembly module TamB
103,NC_007618.1,gene,55032,55757,+,protein_coding,BAB_RS16155,BAB_RS16155,BAB1_0047,L%2CD-transpeptidase
105,NC_007618.1,gene,55808,56023,-,protein_coding,BAB_RS16160,BAB_RS16160,BAB1_0048,hypothetical protein
107,NC_007618.1,gene,56093,56596,-,protein_coding,BAB_RS16165,BAB_RS16165,BAB1_0049,hypothetical protein
109,NC_007618.1,gene,56934,57140,-,protein_coding,BAB_RS31965,BAB_RS31965,BAB1_0050,hypothetical protein
111,NC_007618.1,gene,57151,58155,-,protein_coding,BAB_RS16170,BAB_RS16170,BAB1_0051,DUF1775 domain-containing protein
113,NC_007618.1,gene,58290,58688,-,protein_coding,BAB_RS16175,BAB_RS16175,BAB1_0052,hypothetical protein
115,NC_007618.1,gene,58909,59304,-,protein_coding,BAB_RS16180,BAB_RS16180,BAB1_0053,lactoylglutathione lyase
117,NC_007618.1,gene,59501,60664,+,protein_coding,BAB_RS16185,BAB_RS16185,BAB1_0054,Fe-S-binding ATPase
119,NC_007618.1,gene,60853,62484,-,protein_coding,BAB_RS16190,BAB_RS16190,BAB1_0055,alpha-D-glucose phosphate-specific phosphoglucomutase
121,NC_007618.1,gene,62540,62725,-,protein_coding,BAB_RS31970,BAB_RS31970,BAB1_0056,hypothetical protein
123,NC_007618.1,gene,62700,63593,-,protein_coding,BAB_RS16195,BAB_RS16195,BAB1_0057,LysR family transcriptional regulator
125,NC_007618.1,gene,63718,64641,+,protein_coding,BAB_RS16200,BAB_RS16200,BAB1_0058,alpha/beta hydrolase
127,NC_007618.1,gene,64714,65412,+,protein_coding,BAB_RS16205,BAB_RS16205,BAB1_0059,nucleoside/nucleotide kinase family protein
129,NC_007618.1,gene,65512,66201,+,protein_coding,BAB_RS16210,BAB_RS16210,BAB1_0060,FAA hydrolase family protein
131,NC_007618.1,gene,66221,66412,+,protein_coding,BAB_RS16215,BAB_RS16215,BAB1_0061,hypothetical protein
133,NC_007618.1,gene,66480,66689,+,protein_coding,BAB_RS16220,BAB_RS16220,BAB1_0062,hypothetical protein
135,NC_007618.1,gene,66855,67043,+,protein_coding,BAB_RS16225,BAB_RS16225,BAB1_0063,hypothetical protein
137,NC_007618.1,gene,67058,67921,+,protein_coding,BAB_RS16230,BAB_RS16230,BAB1_0064,lytic transglycosylase
139,NC_007618.1,gene,68103,68759,+,protein_coding,BAB_RS16235,BAB_RS16235,BAB1_0065,DNA-binding protein
141,NC_007618.1,gene,68900,72133,-,protein_coding,BAB_RS16240,BAB_RS16240,BAB1_0066,error-prone DNA polymerase
143,NC_007618.1,gene,72133,73584,-,protein_coding,BAB_RS16245,BAB_RS16245,BAB1_0067,DNA polymerase Y family protein
145,NC_007618.1,gene,73610,74473,-,protein_coding,BAB_RS16250,BAB_RS16250,BAB1_0068,hypothetical protein
147,NC_007618.1,gene,74910,78911,+,protein_coding,BAB_RS31975,BAB_RS31975,BAB1_0069,hypothetical protein
149,NC_007618.1,gene,78931,79668,+,protein_coding,BAB_RS16260,BAB_RS16260,NA,invasion associated locus B family protein
151,NC_007618.1,gene,79747,80967,-,protein_coding,BAB_RS16265,BAB_RS16265,BAB1_0071,argininosuccinate synthase
153,NC_007618.1,gene,81154,81813,+,protein_coding,BAB_RS16270,BAB_RS16270,BAB1_0072,LysE family translocator
155,NC_007618.1,gene,81817,82320,-,protein_coding,BAB_RS16275,BAB_RS16275,BAB1_0073,hypothetical protein
157,NC_007618.1,gene,82354,83589,-,protein_coding,BAB_RS16280,BAB_RS16280,BAB1_0074,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
159,NC_007618.1,gene,83533,83724,+,protein_coding,BAB_RS31980,BAB_RS31980,NA,hypothetical protein
161,NC_007618.1,gene,83709,83903,+,protein_coding,BAB_RS16285,BAB_RS16285,NA,hypothetical protein
163,NC_007618.1,gene,83849,84352,-,protein_coding,BAB_RS16290,BAB_RS16290,BAB1_0075,hypothetical protein
165,NC_007618.1,gene,84800,85183,-,protein_coding,BAB_RS16295,BAB_RS16295,BAB1_0076,DUF1232 domain-containing protein
167,NC_007618.1,gene,85271,85564,-,protein_coding,BAB_RS16300,BAB_RS16300,BAB1_0077,4a-hydroxytetrahydrobiopterin dehydratase
169,NC_007618.1,gene,85791,86171,+,protein_coding,BAB_RS31985,BAB_RS31985,BAB1_0078,hypothetical protein
171,NC_007618.1,gene,86068,86394,+,protein_coding,BAB_RS16310,BAB_RS16310,NA,protein-tyrosine-phosphatase
173,NC_007618.1,gene,86304,86894,-,protein_coding,BAB_RS16315,BAB_RS16315,BAB1_0080,RNA 2'%2C3'-cyclic phosphodiesterase
175,NC_007618.1,gene,87075,87800,-,protein_coding,BAB_RS16320,BAB_RS16320,BAB1_0081,arylesterase
177,NC_007618.1,gene,87797,88009,-,protein_coding,BAB_RS31990,BAB_RS31990,NA,hypothetical protein
179,NC_007618.1,gene,87947,88675,+,protein_coding,BAB_RS16325,BAB_RS16325,BAB1_0082,ABC transporter ATP-binding protein
181,NC_007618.1,gene,88672,91221,+,protein_coding,BAB_RS16330,BAB_RS16330,BAB1_0083,ABC transporter permease
183,NC_007618.1,gene,91455,92192,+,protein_coding,BAB_RS16335,BAB_RS16335,BAB1_0084,BAX inhibitor (BI)-1/YccA family protein
185,NC_007618.1,gene,92307,92666,+,protein_coding,BAB_RS16340,BAB_RS16340,NA,N-acetyltransferase
187,NC_007618.1,gene,92609,92845,+,protein_coding,BAB_RS16345,BAB_RS16345,NA,N-acetyltransferase
189,NC_007618.1,gene,92865,93266,-,protein_coding,BAB_RS16350,BAB_RS16350,BAB1_0087,DUF2794 domain-containing protein
191,NC_007618.1,gene,93816,94550,-,protein_coding,BAB_RS16355,BAB_RS16355,BAB1_0088,DUF1223 domain-containing protein
193,NC_007618.1,gene,94827,97514,-,protein_coding,BAB_RS16360,BAB_RS16360,BAB1_0090,aconitate hydratase AcnA
195,NC_007618.1,gene,97483,97695,+,protein_coding,BAB_RS31995,BAB_RS31995,NA,hypothetical protein
197,NC_007618.1,gene,97858,98505,+,protein_coding,BAB_RS16365,BAB_RS16365,BAB1_0091,cytochrome c biogenesis ATP-binding export protein CcmA
199,NC_007618.1,gene,98505,99170,+,protein_coding,BAB_RS16370,BAB_RS16370,BAB1_0092,heme exporter protein CcmB
201,NC_007618.1,gene,99225,100013,+,protein_coding,BAB_RS16375,BAB_RS16375,BAB1_0093,heme exporter protein CcmC
203,NC_007618.1,gene,100010,100183,+,protein_coding,BAB_RS16380,BAB_RS16380,BAB1_0094,heme exporter protein CcmD
205,NC_007618.1,gene,100180,100791,+,protein_coding,BAB_RS16385,BAB_RS16385,BAB1_0095,DsbE family thiol:disulfide interchange protein
207,NC_007618.1,gene,101040,102875,-,protein_coding,BAB_RS16390,BAB_RS16390,BAB1_0096,dihydroxy-acid dehydratase
209,NC_007618.1,gene,103274,103732,-,protein_coding,BAB_RS16395,BAB_RS16395,NA,hypothetical protein
211,NC_007618.1,gene,103732,104106,-,protein_coding,BAB_RS16400,BAB_RS16400,BAB1_0099,response regulator
213,NC_007618.1,gene,104284,104520,-,protein_coding,BAB_RS16405,BAB_RS16405,BAB1_0100,AsnC family transcriptional regulator
215,NC_007618.1,gene,104623,104814,+,protein_coding,BAB_RS32000,BAB_RS32000,NA,hypothetical protein
217,NC_007618.1,gene,105173,105577,+,protein_coding,BAB_RS16410,BAB_RS16410,BAB1_0101,DUF930 domain-containing protein
219,NC_007618.1,gene,105663,106148,-,protein_coding,BAB_RS16415,BAB_RS16415,NA,formate transporter
221,NC_007618.1,gene,106439,107257,+,protein_coding,BAB_RS16420,BAB_RS16420,BAB1_0103,YdcF family protein
223,NC_007618.1,gene,107535,108563,+,protein_coding,BAB_RS16425,BAB_RS16425,BAB1_0104,sulfate ABC transporter substrate-binding protein
225,NC_007618.1,gene,108658,109524,+,protein_coding,BAB_RS16430,BAB_RS16430,BAB1_0105,sulfate ABC transporter permease subunit CysT
227,NC_007618.1,gene,109514,110380,+,protein_coding,BAB_RS16435,BAB_RS16435,BAB1_0106,sulfate ABC transporter permease subunit CysW
229,NC_007618.1,gene,110478,111557,+,protein_coding,BAB_RS16440,BAB_RS16440,BAB1_0107,sulfate/thiosulfate import ATP-binding protein CysA
231,NC_007618.1,gene,111943,120546,+,protein_coding,BAB_RS16445,BAB_RS16445,BAB1_0108,DUF3131 domain-containing protein
233,NC_007618.1,gene,120636,121940,+,protein_coding,BAB_RS16450,BAB_RS16450,BAB1_0109,nicotinate phosphoribosyltransferase
235,NC_007618.1,gene,121982,122812,-,protein_coding,BAB_RS16455,BAB_RS16455,BAB1_0110,PhzF family phenazine biosynthesis protein
237,NC_007618.1,gene,122922,123710,-,protein_coding,BAB_RS16460,BAB_RS16460,BAB1_0111,class I SAM-dependent methyltransferase
239,NC_007618.1,gene,123733,124659,-,protein_coding,BAB_RS16465,BAB_RS16465,BAB1_0112,carbohydrate kinase
241,NC_007618.1,gene,124750,125556,-,protein_coding,BAB_RS16470,BAB_RS16470,BAB1_0113,NAD(P)-dependent oxidoreductase
243,NC_007618.1,gene,125677,127968,-,protein_coding,BAB_RS16475,BAB_RS16475,BAB1_0114,penicillin-binding protein
245,NC_007618.1,gene,128174,128866,-,protein_coding,BAB_RS16480,BAB_RS16480,BAB1_0115,porin family protein
247,NC_007618.1,gene,129133,129819,-,protein_coding,BAB_RS16485,BAB_RS16485,BAB1_0116,porin family protein
249,NC_007618.1,gene,130051,130668,-,protein_coding,BAB_RS16490,BAB_RS16490,BAB1_0117,ribonuclease D
251,NC_007618.1,gene,130707,132122,-,protein_coding,BAB_RS16495,BAB_RS16495,BAB1_0118,dipeptidase
253,NC_007618.1,gene,132275,132601,+,protein_coding,BAB_RS32005,BAB_RS32005,BAB1_0119,hypothetical protein
255,NC_007618.1,gene,132683,135619,+,protein_coding,BAB_RS16500,BAB_RS16500,BAB1_0120,DNA polymerase I
257,NC_007618.1,gene,135761,137641,+,protein_coding,BAB_RS16505,BAB_RS16505,BAB1_0121,helicase
259,NC_007618.1,gene,137737,140178,-,protein_coding,BAB_RS16510,BAB_RS16510,BAB1_0122,DNA topoisomerase (ATP-hydrolyzing) subunit B
261,NC_007618.1,gene,140497,141333,-,protein_coding,BAB_RS16515,BAB_RS16515,BAB1_0124,S-formylglutathione hydrolase
263,NC_007618.1,pseudogene,141341,141996,-,pseudogene,BAB_RS16520,BAB_RS16520,NA,hypothetical protein
265,NC_007618.1,gene,141996,142463,-,protein_coding,BAB_RS16525,BAB_RS16525,BAB1_0127,GNAT family N-acetyltransferase
267,NC_007618.1,gene,142463,143575,-,protein_coding,BAB_RS16530,BAB_RS16530,BAB1_0128,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
269,NC_007618.1,pseudogene,143609,143894,-,pseudogene,BAB_RS16535,BAB_RS16535,BAB1_0129,regulator
271,NC_007618.1,gene,143886,145877,+,protein_coding,BAB_RS16540,BAB_RS16540,NA,ATP-dependent helicase HrpB
273,NC_007618.1,gene,145894,146475,+,protein_coding,BAB_RS16545,BAB_RS16545,NA,ATP-dependent helicase
275,NC_007618.1,gene,146570,147862,+,protein_coding,BAB_RS16550,BAB_RS16550,BAB1_0132,sensor histidine kinase
277,NC_007618.1,gene,147932,148300,+,protein_coding,BAB_RS16555,BAB_RS16555,BAB1_0133,IS5/IS1182 family transposase
279,NC_007618.1,gene,148297,148689,+,protein_coding,BAB_RS16560,BAB_RS16560,BAB1_0134,IS5/IS1182 family transposase
281,NC_007618.1,gene,148755,149093,+,protein_coding,BAB_RS32010,BAB_RS32010,BAB1_0135,hypothetical protein
283,NC_007618.1,gene,149126,149329,-,protein_coding,BAB_RS32015,BAB_RS32015,NA,hypothetical protein
285,NC_007618.1,gene,149289,149852,+,protein_coding,BAB_RS16565,BAB_RS16565,BAB1_0136,DNA-binding response regulator
287,NC_007618.1,gene,149858,150352,-,protein_coding,BAB_RS16570,BAB_RS16570,BAB1_0137,DNA repair protein MmcB-related protein
289,NC_007618.1,gene,150622,151242,+,protein_coding,BAB_RS16575,BAB_RS16575,BAB1_0138,L%2CD-transpeptidase
291,NC_007618.1,gene,151332,151904,-,protein_coding,BAB_RS16580,BAB_RS16580,BAB1_0139,NifU family protein
293,NC_007618.1,gene,152013,152552,-,protein_coding,BAB_RS16585,BAB_RS16585,BAB1_0140,universal stress protein A
295,NC_007618.1,gene,152559,153626,-,protein_coding,BAB_RS16590,BAB_RS16590,BAB1_0141,tryptophan--tRNA ligase
297,NC_007618.1,gene,153723,155312,-,protein_coding,BAB_RS16595,BAB_RS16595,BAB1_0142,murein biosynthesis integral membrane protein MurJ
299,NC_007618.1,gene,155326,158130,-,protein_coding,BAB_RS16600,BAB_RS16600,BAB1_0143,bifunctional uridylyltransferase/uridylyl-removing protein
301,NC_007618.1,gene,158273,159331,-,protein_coding,BAB_RS16605,BAB_RS16605,NA,phosphate acetyltransferase
303,NC_007618.1,pseudogene,159319,160566,-,pseudogene,BAB_RS32020,BAB_RS32020,BAB1_0145,malate dehydrogenase
305,NC_007618.1,gene,160723,163455,+,protein_coding,BAB_RS16610,BAB_RS16610,BAB1_0146,DNA mismatch repair protein MutS
307,NC_007618.1,gene,163761,164606,-,protein_coding,BAB_RS16615,BAB_RS16615,BAB1_0147,GNAT family N-acetyltransferase
309,NC_007618.1,gene,164929,165411,-,protein_coding,BAB_RS16620,BAB_RS16620,BAB1_0148,lipoprotein signal peptidase
311,NC_007618.1,gene,165413,166306,-,protein_coding,BAB_RS16625,BAB_RS16625,BAB1_0149,RNA methyltransferase
313,NC_007618.1,gene,166303,167448,-,protein_coding,BAB_RS16630,BAB_RS16630,BAB1_0150,class I SAM-dependent rRNA methyltransferase
315,NC_007618.1,gene,167561,167884,-,protein_coding,BAB_RS16635,BAB_RS16635,BAB1_0151,DUF1049 domain-containing protein
317,NC_007618.1,gene,167894,168178,-,protein_coding,BAB_RS16640,BAB_RS16640,BAB1_0152,integration host factor subunit beta
319,NC_007618.1,gene,168225,169208,-,protein_coding,BAB_RS16645,BAB_RS16645,BAB1_0153,signal peptide peptidase SppA
321,NC_007618.1,gene,169670,170392,+,protein_coding,BAB_RS16650,BAB_RS16650,BAB1_0154,LPS export ABC transporter periplasmic protein LptC
323,NC_007618.1,gene,170680,171330,+,protein_coding,BAB_RS16655,BAB_RS16655,BAB1_0155,organic solvent tolerance protein OstA
325,NC_007618.1,gene,171342,172175,+,protein_coding,BAB_RS16660,BAB_RS16660,BAB1_0156,LPS export ABC transporter ATP-binding protein
327,NC_007618.1,gene,172471,173973,+,protein_coding,BAB_RS16665,BAB_RS16665,BAB1_0157,RNA polymerase sigma-54 factor
329,NC_007618.1,gene,174122,174487,-,protein_coding,BAB_RS32025,BAB_RS32025,BAB1_0158,hypothetical protein
331,NC_007618.1,gene,174723,175316,+,protein_coding,BAB_RS16670,BAB_RS16670,BAB1_0159,ribosomal subunit interface protein
333,NC_007618.1,gene,175419,175883,+,protein_coding,BAB_RS16675,BAB_RS16675,BAB1_0160,PTS IIA-like nitrogen-regulatory protein PtsN
335,NC_007618.1,gene,175964,176209,-,protein_coding,BAB_RS16680,BAB_RS16680,BAB1_0161,DUF1150 domain-containing protein
337,NC_007618.1,gene,176315,176737,-,protein_coding,BAB_RS16685,BAB_RS16685,BAB1_0162,heat-shock protein Hsp20
339,NC_007618.1,gene,176828,177040,-,protein_coding,BAB_RS32030,BAB_RS32030,BAB1_0163,hypothetical protein
341,NC_007618.1,gene,177009,177506,-,protein_coding,BAB_RS16690,BAB_RS16690,BAB1_0164,DUF2244 domain-containing protein
343,NC_007618.1,gene,177611,178357,+,protein_coding,BAB_RS16695,BAB_RS16695,BAB1_0165,endonuclease III
345,NC_007618.1,gene,178398,179111,-,protein_coding,BAB_RS16700,BAB_RS16700,BAB1_0166,cysteine biosynthesis protein
347,NC_007618.1,gene,179108,179368,-,protein_coding,BAB_RS32035,BAB_RS32035,BAB1_0167,hypothetical protein
349,NC_007618.1,gene,179371,180363,+,protein_coding,BAB_RS16705,BAB_RS16705,BAB1_0168,adenosine kinase
351,NC_007618.1,gene,180382,181038,-,protein_coding,BAB_RS16710,BAB_RS16710,BAB1_0169,trimeric intracellular cation channel family protein
353,NC_007618.1,gene,181171,181851,-,protein_coding,BAB_RS16715,BAB_RS16715,BAB1_0170,nucleotide exchange factor GrpE
355,NC_007618.1,gene,181957,183027,-,protein_coding,hrcA,BAB_RS16720,BAB1_0171,HrcA family transcriptional regulator
357,NC_007618.1,gene,183024,183224,-,protein_coding,BAB_RS32040,BAB_RS32040,NA,hypothetical protein
359,NC_007618.1,gene,183249,183965,+,protein_coding,BAB_RS16725,BAB_RS16725,BAB1_0172,ribonuclease PH
361,NC_007618.1,pseudogene,184139,184542,+,pseudogene,BAB_RS32045,BAB_RS32045,NA,glyoxalase/bleomycin resistance/extradiol dioxygenase family protein
363,NC_007618.1,gene,184545,185207,+,protein_coding,BAB_RS16740,BAB_RS16740,BAB1_0175,non-canonical purine NTP pyrophosphatase
365,NC_007618.1,gene,185204,186418,+,protein_coding,BAB_RS16745,BAB_RS16745,BAB1_0176,radical SAM protein
367,NC_007618.1,gene,186430,187341,+,protein_coding,BAB_RS16750,BAB_RS16750,BAB1_0177,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
369,NC_007618.1,gene,187338,187718,+,protein_coding,BAB_RS16755,BAB_RS16755,BAB1_0178,YraN family protein
371,NC_007618.1,gene,187935,189371,+,protein_coding,BAB_RS16760,BAB_RS16760,BAB1_0179,uroporphyrinogen-III C-methyltransferase
373,NC_007618.1,gene,189389,189691,+,protein_coding,BAB_RS16765,BAB_RS16765,BAB1_0180,DUF2849 domain-containing protein
375,NC_007618.1,gene,189712,191382,+,protein_coding,BAB_RS16770,BAB_RS16770,BAB1_0181,nitrite/sulfite reductase
377,NC_007618.1,gene,191372,192130,+,protein_coding,BAB_RS16775,BAB_RS16775,BAB1_0182,phosphoadenylyl-sulfate reductase
379,NC_007618.1,gene,192183,192707,+,protein_coding,BAB_RS16780,BAB_RS16780,BAB1_0183,DUF934 domain-containing protein
381,NC_007618.1,gene,192775,193068,+,protein_coding,BAB_RS16785,BAB_RS16785,BAB1_0184,stress responsive protein
383,NC_007618.1,gene,193069,193647,-,protein_coding,BAB_RS16790,BAB_RS16790,BAB1_0185,methylated-DNA--[protein]-cysteine S-methyltransferase
385,NC_007618.1,gene,193756,193938,+,protein_coding,BAB_RS32050,BAB_RS32050,NA,hypothetical protein
387,NC_007618.1,gene,193905,194150,+,protein_coding,BAB_RS16795,BAB_RS16795,BAB1_0186,hypothetical protein
389,NC_007618.1,gene,194203,194592,-,protein_coding,BAB_RS16800,BAB_RS16800,BAB1_0187,BA14K family protein
391,NC_007618.1,gene,194906,198691,+,protein_coding,BAB_RS16805,BAB_RS16805,BAB1_0188,methionine synthase
393,NC_007618.1,gene,199012,199719,+,protein_coding,BAB_RS16810,BAB_RS16810,BAB1_0190,LuxR family transcriptional regulator
395,NC_007618.1,gene,199834,201204,+,protein_coding,BAB_RS16815,BAB_RS16815,BAB1_0191,aspartate aminotransferase family protein
397,NC_007618.1,gene,201183,201428,-,protein_coding,BAB_RS32055,BAB_RS32055,BAB1_0192,hypothetical protein
399,NC_007618.1,gene,201589,202509,+,protein_coding,BAB_RS16820,BAB_RS16820,BAB1_0193,sulfate adenylyltransferase subunit CysD
401,NC_007618.1,gene,202509,204443,+,protein_coding,BAB_RS16825,BAB_RS16825,BAB1_0194,adenylyl-sulfate kinase
403,NC_007618.1,gene,204446,205291,+,protein_coding,BAB_RS16830,BAB_RS16830,BAB1_0195,3'(2')%2C5'-bisphosphate nucleotidase
405,NC_007618.1,gene,205424,205500,+,tRNA,BAB_RS16835,BAB_RS16835,BAB1_2189,NA
408,NC_007618.1,gene,205553,206314,-,protein_coding,BAB_RS16840,BAB_RS16840,BAB1_0196,Crp/Fnr family transcriptional regulator
410,NC_007618.1,gene,206557,207294,+,protein_coding,BAB_RS16845,BAB_RS16845,BAB1_0197,DNA-binding response regulator
412,NC_007618.1,gene,207269,207400,+,protein_coding,BAB_RS32060,BAB_RS32060,BAB1_0198,hypothetical protein
414,NC_007618.1,gene,207622,208413,+,protein_coding,BAB_RS16850,BAB_RS16850,BAB1_0199,DeoR/GlpR transcriptional regulator
416,NC_007618.1,gene,208495,210006,+,protein_coding,BAB_RS16855,BAB_RS16855,BAB1_0200,glycerol-3-phosphate dehydrogenase
418,NC_007618.1,gene,210225,211193,+,protein_coding,BAB_RS16860,BAB_RS16860,BAB1_0201,sigma-54-dependent Fis family transcriptional regulator
420,NC_007618.1,pseudogene,211342,212858,+,pseudogene,BAB_RS16865,BAB_RS16865,NA,aldehyde dehydrogenase
422,NC_007618.1,gene,213339,214373,+,protein_coding,BAB_RS16870,BAB_RS16870,BAB1_0204,alcohol dehydrogenase AdhP
424,NC_007618.1,gene,214437,214832,+,protein_coding,BAB_RS16875,BAB_RS16875,NA,DUF779 domain-containing protein
