,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
43,NC_003317.1,gene,23039,24559,+,protein_coding,BME_RS00110,BME_RS00110,BMEI0024,sorbosone dehydrogenase
45,NC_003317.1,gene,24572,26056,+,protein_coding,BME_RS00115,BME_RS00115,BMEI0025,GMC family oxidoreductase
47,NC_003317.1,gene,26053,26817,+,protein_coding,BME_RS00120,BME_RS00120,BMEI0026,3-ketoacyl-ACP reductase
49,NC_003317.1,pseudogene,26828,28109,+,pseudogene,BME_RS00125,BME_RS00125,NA,choline dehydrogenase
51,NC_003317.1,gene,28116,28463,+,protein_coding,BME_RS15790,BME_RS15790,BMEI0029,sorbose dehydrogenase
53,NC_003317.1,gene,28520,28915,-,protein_coding,BME_RS00130,BME_RS00130,BMEI0030,DUF4354 domain-containing protein
55,NC_003317.1,pseudogene,29014,29447,-,pseudogene,BME_RS00135,BME_RS00135,NA,aldehyde-activating protein
57,NC_003317.1,gene,29555,30319,+,protein_coding,BME_RS00140,BME_RS00140,BMEI0032,NAD(P)-dependent oxidoreductase
59,NC_003317.1,gene,30328,30404,-,tRNA,BME_RS00145,BME_RS00145,BMEIt01,NA
62,NC_003317.1,pseudogene,30518,31681,-,pseudogene,BME_RS00150,BME_RS00150,NA,amidohydrolase
64,NC_003317.1,gene,31976,33091,+,protein_coding,BME_RS00155,BME_RS00155,BMEI0035,D-alanyl-D-alanine carboxypeptidase
66,NC_003317.1,gene,33093,34259,+,protein_coding,BME_RS00160,BME_RS00160,BMEI0036,GTP-binding protein
68,NC_003317.1,gene,34277,34513,-,protein_coding,BME_RS00165,BME_RS00165,BMEI0037,response regulator SirA
70,NC_003317.1,gene,34513,35724,-,protein_coding,BME_RS00170,BME_RS00170,BMEI0038,hypothetical protein
72,NC_003317.1,gene,35946,36899,-,protein_coding,BME_RS00175,BME_RS00175,BMEI0039,acetyl-CoA carboxylase carboxyl transferase subunit alpha
74,NC_003317.1,gene,37038,37961,-,protein_coding,BME_RS00180,BME_RS00180,BMEI0040,site-specific tyrosine recombinase XerD
76,NC_003317.1,gene,37967,38149,-,protein_coding,BME_RS00185,BME_RS00185,BMEI0041,hypothetical protein
78,NC_003317.1,gene,38295,38897,+,protein_coding,BME_RS00190,BME_RS00190,BMEI0042,shikimate kinase
80,NC_003317.1,gene,38990,40126,+,protein_coding,BME_RS00195,BME_RS00195,BMEI0043,3-dehydroquinate synthase
82,NC_003317.1,gene,40190,41497,+,protein_coding,BME_RS00200,BME_RS00200,BMEI0044,HlyC/CorC family transporter
84,NC_003317.1,gene,41522,41836,-,protein_coding,BME_RS00205,BME_RS00205,BMEI0045,BolA family transcriptional regulator
86,NC_003317.1,gene,41829,42026,+,protein_coding,BME_RS15795,BME_RS15795,BMEI0046,hypothetical protein
88,NC_003317.1,gene,42023,42652,+,protein_coding,BME_RS00210,BME_RS00210,BMEI0047,J domain-containing protein
90,NC_003317.1,gene,42630,42860,-,protein_coding,BME_RS15800,BME_RS15800,NA,hypothetical protein
92,NC_003317.1,gene,42939,43925,+,protein_coding,BME_RS00215,BME_RS00215,BMEI0049,cobaltochelatase subunit CobS
94,NC_003317.1,gene,44021,45934,+,protein_coding,BME_RS00220,BME_RS00220,BMEI0050,cobaltochelatase subunit CobT
96,NC_003317.1,gene,46200,47192,-,protein_coding,BME_RS00225,BME_RS00225,BMEI0051,hypothetical protein
98,NC_003317.1,gene,47219,47968,-,protein_coding,BME_RS00230,BME_RS00230,BMEI0052,hypothetical protein
100,NC_003317.1,gene,48375,50804,-,protein_coding,BME_RS00235,BME_RS00235,BMEI0053,heavy metal translocating P-type ATPase
102,NC_003317.1,gene,50893,51315,+,protein_coding,BME_RS00240,BME_RS00240,BMEI0054,MerR family DNA-binding transcriptional regulator
104,NC_003317.1,gene,51427,52242,-,protein_coding,BME_RS00245,BME_RS00245,BMEI0055,DUF3108 domain-containing protein
106,NC_003317.1,gene,52604,52897,+,protein_coding,BME_RS00250,BME_RS00250,BMEI0056,50S ribosomal protein L28
108,NC_003317.1,gene,52977,53648,+,protein_coding,BME_RS00255,BME_RS00255,BMEI0057,membrane protein
110,NC_003317.1,gene,53789,58111,-,protein_coding,BME_RS15805,BME_RS15805,BMEI0058,outer membrane autotransporter barrel domain-containing protein
112,NC_003317.1,gene,58749,60305,+,protein_coding,BME_RS00265,BME_RS00265,NA,hypothetical protein
114,NC_003317.1,gene,60314,60673,+,protein_coding,BME_RS00270,BME_RS00270,BMEI0061,hypothetical protein
116,NC_003317.1,gene,61107,62186,+,protein_coding,BME_RS00275,BME_RS00275,BMEI0062,hypothetical protein
118,NC_003317.1,gene,62195,62569,+,protein_coding,BME_RS00280,BME_RS00280,NA,hypothetical protein
120,NC_003317.1,gene,62557,63702,+,protein_coding,BME_RS15810,BME_RS15810,BMEI0063,hypothetical protein
122,NC_003317.1,gene,63731,64030,-,protein_coding,BME_RS15815,BME_RS15815,BMEI0064,hypothetical protein
124,NC_003317.1,gene,64091,64636,-,protein_coding,BME_RS00285,BME_RS00285,BMEI0065,hypothetical protein
126,NC_003317.1,gene,64844,65527,+,protein_coding,BME_RS00290,BME_RS00290,BMEI0066,DNA-binding response regulator
128,NC_003317.1,gene,65562,66023,+,protein_coding,BME_RS00295,BME_RS00295,BMEI0067,cyclic nucleotide-binding domain-containing protein
130,NC_003317.1,gene,66029,66835,-,protein_coding,BME_RS00300,BME_RS00300,BMEI0068,exodeoxyribonuclease III
132,NC_003317.1,gene,66938,67633,-,protein_coding,BME_RS00305,BME_RS00305,BMEI0069,outer membrane lipoprotein carrier protein LolA
134,NC_003317.1,gene,68014,68700,-,protein_coding,BME_RS00310,BME_RS00310,BMEI0070,aquaporin
136,NC_003317.1,gene,69178,69450,+,protein_coding,BME_RS00315,BME_RS00315,BMEI0071,hypothetical protein
138,NC_003317.1,gene,69572,69754,+,protein_coding,BME_RS15820,BME_RS15820,NA,hypothetical protein
140,NC_003317.1,gene,69759,70418,+,protein_coding,BME_RS00320,BME_RS00320,BMEI0072,cell division ATP-binding protein FtsE
142,NC_003317.1,gene,70411,71412,+,protein_coding,BME_RS00325,BME_RS00325,BMEI0073,ABC transporter permease
144,NC_003317.1,gene,71409,72311,+,protein_coding,BME_RS00330,BME_RS00330,BMEI0074,YdcF family protein
146,NC_003317.1,gene,72490,73272,+,protein_coding,BME_RS00335,BME_RS00335,BMEI0075,1-acyl-sn-glycerol-3-phosphate acyltransferase
148,NC_003317.1,gene,73425,73955,+,protein_coding,BME_RS00340,BME_RS00340,BMEI0076,inorganic pyrophosphatase
150,NC_003317.1,gene,74126,74416,-,protein_coding,BME_RS00345,BME_RS00345,NA,YggT family protein
152,NC_003317.1,gene,74618,74693,+,tRNA,BME_RS00350,BME_RS00350,BMEIt02,NA
155,NC_003317.1,gene,74749,75309,-,protein_coding,BME_RS00355,BME_RS00355,BMEI0077,gamma-glutamylcyclotransferase
157,NC_003317.1,gene,75298,75501,+,protein_coding,BME_RS15825,BME_RS15825,NA,hypothetical protein
159,NC_003317.1,gene,75521,76540,+,protein_coding,BME_RS00360,BME_RS00360,BMEI0078,DUF2125 domain-containing protein
161,NC_003317.1,gene,76509,77474,-,protein_coding,BME_RS00365,BME_RS00365,BMEI0079,prephenate dehydrogenase/arogenate dehydrogenase family protein
163,NC_003317.1,gene,77479,78585,-,protein_coding,BME_RS00370,BME_RS00370,BMEI0080,histidinol-phosphate transaminase
165,NC_003317.1,pseudogene,78730,79508,-,pseudogene,BME_RS00375,BME_RS00375,BMEI0081,SAM-dependent methyltransferase
167,NC_003317.1,gene,79503,79697,+,protein_coding,BME_RS15830,BME_RS15830,NA,hypothetical protein
169,NC_003317.1,gene,79657,80193,+,protein_coding,BME_RS00380,BME_RS00380,BMEI0082,hypoxanthine phosphoribosyltransferase
171,NC_003317.1,gene,80233,82866,-,protein_coding,BME_RS00385,BME_RS00385,BMEI0083,TIGR02302 family protein
173,NC_003317.1,gene,82965,84230,-,protein_coding,BME_RS00390,BME_RS00390,BMEI0084,diaminopimelate decarboxylase
175,NC_003317.1,gene,84258,84440,-,protein_coding,BME_RS00395,BME_RS00395,NA,hypothetical protein
177,NC_003317.1,gene,84551,85951,-,protein_coding,BME_RS00400,BME_RS00400,BMEI0086,argininosuccinate lyase
179,NC_003317.1,gene,86005,86721,+,protein_coding,BME_RS00405,BME_RS00405,NA,TlpA family protein disulfide reductase
181,NC_003317.1,gene,86729,87214,-,protein_coding,BME_RS00410,BME_RS00410,BMEI0088,YaiI/YqxD family protein
183,NC_003317.1,gene,87232,88092,-,protein_coding,BME_RS00415,BME_RS00415,BMEI0089,YihY/virulence factor BrkB family protein
185,NC_003317.1,gene,88250,89092,+,protein_coding,BME_RS00420,BME_RS00420,BMEI0090,short-chain dehydrogenase
187,NC_003317.1,gene,89122,89325,+,protein_coding,BME_RS00425,BME_RS00425,NA,twin transmembrane helix small protein
189,NC_003317.1,gene,89327,89956,+,protein_coding,BME_RS00430,BME_RS00430,BMEI0092,ATP:cob(I)alamin adenosyltransferase
191,NC_003317.1,gene,90052,90810,-,protein_coding,BME_RS00435,BME_RS00435,BMEI0093,7-carboxy-7-deazaguanine synthase QueE
193,NC_003317.1,pseudogene,90807,91171,-,pseudogene,BME_RS00440,BME_RS00440,BMEI0094,6-carboxytetrahydropterin synthase QueD
195,NC_003317.1,gene,91171,91869,-,protein_coding,BME_RS00445,BME_RS00445,BMEI0095,7-cyano-7-deazaguanine synthase
197,NC_003317.1,gene,92205,92951,+,protein_coding,BME_RS00450,BME_RS00450,BMEI0096,electron transfer flavoprotein subunit beta/FixA family protein
199,NC_003317.1,gene,93104,94033,+,protein_coding,BME_RS00455,BME_RS00455,BMEI0097,electron transfer flavoprotein subunit alpha/FixB family protein
201,NC_003317.1,gene,94144,94365,+,protein_coding,BME_RS15835,BME_RS15835,BMEI0098,hypothetical protein
203,NC_003317.1,gene,94517,95392,+,protein_coding,BME_RS00460,BME_RS00460,BMEI0099,3-hydroxybutyryl-CoA dehydrogenase
205,NC_003317.1,gene,95882,96865,-,protein_coding,BME_RS00465,BME_RS00465,BMEI0101,cysteine synthase A
207,NC_003317.1,gene,97112,97561,+,protein_coding,BME_RS00470,BME_RS00470,BMEI0102,universal stress protein
209,NC_003317.1,gene,97741,99024,+,protein_coding,BME_RS00475,BME_RS00475,BMEI0103,methionine gamma-lyase
211,NC_003317.1,gene,99710,101017,-,protein_coding,BME_RS00480,BME_RS00480,BMEI0104,MFS transporter
213,NC_003317.1,pseudogene,101096,102086,+,pseudogene,BME_RS00485,BME_RS00485,BMEI0105,L-asparaginase
215,NC_003317.1,gene,102110,102793,+,protein_coding,BME_RS00490,BME_RS00490,BMEI0106,GntR family transcriptional regulator
217,NC_003317.1,gene,102930,103928,-,protein_coding,BME_RS00495,BME_RS00495,BMEI0107,asparaginase
219,NC_003317.1,gene,103937,104692,-,protein_coding,glnQ,BME_RS00500,BMEI0108,amino acid ABC transporter ATP-binding protein
221,NC_003317.1,gene,104676,106127,-,protein_coding,BME_RS00505,BME_RS00505,BMEI0109,aspartate ammonia-lyase
223,NC_003317.1,gene,106136,107149,-,protein_coding,BME_RS00510,BME_RS00510,BMEI0110,arginase
225,NC_003317.1,gene,107170,107985,-,protein_coding,BME_RS00515,BME_RS00515,BMEI0111,amino acid ABC transporter ATP-binding protein
227,NC_003317.1,gene,107982,108704,-,protein_coding,BME_RS00520,BME_RS00520,BMEI0112,amino acid ABC transporter permease
229,NC_003317.1,gene,108709,109209,-,protein_coding,BME_RS00525,BME_RS00525,NA,amino acid ABC transporter permease
231,NC_003317.1,pseudogene,109493,110338,-,pseudogene,BME_RS00530,BME_RS00530,NA,amino acid ABC transporter substrate-binding protein
233,NC_003317.1,gene,110404,110589,+,protein_coding,BME_RS15840,BME_RS15840,NA,hypothetical protein
235,NC_003317.1,gene,110629,111588,+,protein_coding,BME_RS00535,BME_RS00535,BMEI0116,LysR family transcriptional regulator
237,NC_003317.1,gene,111736,111936,+,protein_coding,BME_RS00540,BME_RS00540,BMEI0117,hypothetical protein
239,NC_003317.1,gene,112051,112135,-,tRNA,BME_RS00545,BME_RS00545,BMEIt03,NA
242,NC_003317.1,gene,112771,114405,-,protein_coding,BME_RS00555,BME_RS00555,BMEI0118,phosphoethanolamine transferase
244,NC_003317.1,gene,114574,115860,-,protein_coding,BME_RS00560,BME_RS00560,NA,GNAT family N-acetyltransferase
246,NC_003317.1,gene,115860,116066,-,protein_coding,BME_RS00565,BME_RS00565,NA,hypothetical protein
248,NC_003317.1,gene,116637,119357,-,protein_coding,BME_RS00570,BME_RS00570,BMEI0121,protein translocase subunit SecA
250,NC_003317.1,gene,119549,119695,-,protein_coding,BME_RS00575,BME_RS00575,NA,hypothetical protein
252,NC_003317.1,gene,119696,120691,+,protein_coding,BME_RS00580,BME_RS00580,BMEI0123,peptidylprolyl isomerase
254,NC_003317.1,gene,121129,122370,+,protein_coding,BME_RS00585,BME_RS00585,BMEI0124,bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase
256,NC_003317.1,gene,122461,123219,+,protein_coding,BME_RS00590,BME_RS00590,BMEI0125,N-acetyltransferase
258,NC_003317.1,gene,123216,123632,+,protein_coding,BME_RS00595,BME_RS00595,BMEI0126,(deoxy)nucleoside triphosphate pyrophosphohydrolase
260,NC_003317.1,gene,123744,124049,+,protein_coding,BME_RS00600,BME_RS00600,NA,hypothetical protein
262,NC_003317.1,gene,124114,124605,-,protein_coding,BME_RS00605,BME_RS00605,BMEI0128,hypothetical protein
264,NC_003317.1,gene,124652,125434,-,protein_coding,BME_RS00610,BME_RS00610,BMEI0129,hydroxyacylglutathione hydrolase
266,NC_003317.1,gene,125458,126120,-,protein_coding,BME_RS00615,BME_RS00615,BMEI0130,septation protein A
268,NC_003317.1,gene,126120,127517,-,protein_coding,BME_RS00620,BME_RS00620,NA,signal recognition particle-docking protein FtsY
270,NC_003317.1,gene,127539,128822,-,protein_coding,BME_RS00625,BME_RS00625,BMEI0132,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
272,NC_003317.1,gene,128822,129733,-,protein_coding,BME_RS00630,BME_RS00630,BMEI0133,diaminopimelate epimerase
274,NC_003317.1,gene,129764,129967,+,protein_coding,BME_RS15845,BME_RS15845,BMEI0134,hypothetical protein
276,NC_003317.1,gene,130096,130629,+,protein_coding,BME_RS00635,BME_RS00635,BMEI0135,hypothetical protein
278,NC_003317.1,gene,130749,131912,+,protein_coding,BME_RS00640,BME_RS00640,BMEI0136,cell division protein ZapE
280,NC_003317.1,gene,131989,132231,+,protein_coding,BME_RS15850,BME_RS15850,NA,hypothetical protein
282,NC_003317.1,gene,132351,133313,+,protein_coding,BME_RS00645,BME_RS00645,BMEI0137,malate dehydrogenase
284,NC_003317.1,gene,133420,134616,+,protein_coding,BME_RS00650,BME_RS00650,BMEI0138,succinyl-CoA ligase subunit beta
286,NC_003317.1,gene,134620,135522,+,protein_coding,BME_RS00655,BME_RS00655,BMEI0139,succinate--CoA ligase subunit alpha
288,NC_003317.1,gene,135798,138812,+,protein_coding,BME_RS00660,BME_RS00660,BMEI0140,2-oxoglutarate dehydrogenase subunit E1
290,NC_003317.1,gene,138874,140100,+,protein_coding,BME_RS00665,BME_RS00665,BMEI0141,dihydrolipoyllysine-residue succinyltransferase
292,NC_003317.1,gene,140110,140523,+,protein_coding,BME_RS00670,BME_RS00670,BMEI0142,membrane protein
294,NC_003317.1,gene,140565,141203,+,protein_coding,BME_RS00675,BME_RS00675,BMEI0143,LysE family translocator
296,NC_003317.1,gene,141274,141816,+,protein_coding,BME_RS00680,BME_RS00680,BMEI0144,hypothetical protein
298,NC_003317.1,gene,141985,143388,+,protein_coding,BME_RS00685,BME_RS00685,BMEI0145,dihydrolipoyl dehydrogenase
300,NC_003317.1,gene,143592,144593,-,protein_coding,BME_RS00690,BME_RS00690,BMEI0146,GumN family protein
302,NC_003317.1,gene,144647,145594,-,protein_coding,BME_RS00695,BME_RS00695,BMEI0147,tyrosine recombinase XerC
304,NC_003317.1,gene,145818,146387,+,protein_coding,BME_RS00700,BME_RS00700,BMEI0148,ribosome maturation factor RimM
306,NC_003317.1,gene,146384,147118,+,protein_coding,BME_RS00705,BME_RS00705,BMEI0149,tRNA (guanosine(37)-N1)-methyltransferase TrmD
308,NC_003317.1,gene,147253,147918,-,protein_coding,BME_RS00710,BME_RS00710,BMEI0150,ArsR family transcriptional regulator
310,NC_003317.1,gene,147989,148312,+,protein_coding,BME_RS00715,BME_RS00715,BMEI0151,NIPSNAP family protein
312,NC_003317.1,gene,148309,148671,+,protein_coding,BME_RS00720,BME_RS00720,BMEI0152,antibiotic biosynthesis monooxygenase
314,NC_003317.1,gene,148664,149074,+,protein_coding,BME_RS00725,BME_RS00725,BMEI0153,hypothetical protein
316,NC_003317.1,gene,149071,149307,+,protein_coding,BME_RS00730,BME_RS00730,BMEI0154,hypothetical protein
318,NC_003317.1,pseudogene,149460,150705,-,pseudogene,BME_RS00735,BME_RS00735,BMEI0155,allantoin permease
320,NC_003317.1,gene,151213,151650,+,protein_coding,BME_RS00740,BME_RS00740,BMEI0156,50S ribosomal protein L19
322,NC_003317.1,gene,151861,153270,+,protein_coding,BME_RS00745,BME_RS00745,BMEI0157,3-isopropylmalate dehydratase large subunit
324,NC_003317.1,gene,153527,153985,+,protein_coding,BME_RS00750,BME_RS00750,BMEI0158,GNAT family N-acetyltransferase
326,NC_003317.1,gene,154094,154288,-,protein_coding,BME_RS15855,BME_RS15855,NA,hypothetical protein
328,NC_003317.1,gene,154330,154728,+,protein_coding,BME_RS00755,BME_RS00755,BMEI0159,succinate dehydrogenase%2C cytochrome b556 subunit
330,NC_003317.1,gene,154742,155137,+,protein_coding,BME_RS00760,BME_RS00760,BMEI0160,succinate dehydrogenase%2C hydrophobic membrane anchor protein
332,NC_003317.1,gene,155145,156986,+,protein_coding,BME_RS00765,BME_RS00765,BMEI0161,succinate dehydrogenase flavoprotein subunit
334,NC_003317.1,gene,157002,157781,+,protein_coding,BME_RS00770,BME_RS00770,BMEI0162,succinate dehydrogenase iron-sulfur subunit
336,NC_003317.1,gene,157750,158151,-,protein_coding,BME_RS15860,BME_RS15860,BMEI0163,hypothetical protein
338,NC_003317.1,gene,158150,158521,+,protein_coding,BME_RS00775,BME_RS00775,BMEI0164,VOC family protein
340,NC_003317.1,gene,158607,159851,-,protein_coding,BME_RS00780,BME_RS00780,BMEI0165,2-octaprenyl-6-methoxyphenyl hydroxylase
342,NC_003317.1,gene,160071,160973,+,protein_coding,BME_RS00785,BME_RS00785,BMEI0166,acyl-CoA thioesterase II
344,NC_003317.1,gene,161023,161205,+,protein_coding,BME_RS15865,BME_RS15865,NA,hypothetical protein
346,NC_003317.1,gene,161196,162497,+,protein_coding,BME_RS00790,BME_RS00790,BMEI0167,ammonium transporter
348,NC_003317.1,gene,162707,165160,+,protein_coding,BME_RS00795,BME_RS00795,BMEI0168,DNA translocase FtsK
350,NC_003317.1,gene,165222,166703,-,protein_coding,BME_RS00800,BME_RS00800,BMEI0169,PLP-dependent aminotransferase family protein
352,NC_003317.1,gene,166831,167688,+,protein_coding,BME_RS00805,BME_RS00805,BMEI0170,EamA/RhaT family transporter
354,NC_003317.1,gene,167734,168390,-,protein_coding,BME_RS00810,BME_RS00810,BMEI0171,methyltransferase
356,NC_003317.1,gene,168390,168818,-,protein_coding,BME_RS00815,BME_RS00815,BMEI0172,EVE domain-containing protein
358,NC_003317.1,gene,168831,169121,-,protein_coding,BME_RS00820,BME_RS00820,BMEI0173,hypothetical protein
360,NC_003317.1,gene,169123,170103,-,protein_coding,BME_RS00825,BME_RS00825,BMEI0174,glycerol-3-phosphate dehydrogenase (NAD(P)(+))
362,NC_003317.1,gene,170100,171179,-,protein_coding,BME_RS00830,BME_RS00830,BMEI0175,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
364,NC_003317.1,gene,171298,172242,+,protein_coding,BME_RS00835,BME_RS00835,BMEI0176,hydroxymethylbilane synthase
366,NC_003317.1,gene,172266,172973,+,protein_coding,BME_RS00840,BME_RS00840,BMEI0177,uroporphyrinogen III methyltransferase
368,NC_003317.1,gene,173056,174432,+,protein_coding,BME_RS00845,BME_RS00845,NA,hypothetical protein
370,NC_003317.1,gene,174445,176016,+,protein_coding,BME_RS00850,BME_RS00850,BMEI0179,heme biosynthesis protein HemY
372,NC_003317.1,gene,176432,176911,+,protein_coding,BME_RS00855,BME_RS00855,BMEI0180,hypothetical protein
374,NC_003317.1,gene,176937,178175,-,protein_coding,BME_RS00860,BME_RS00860,BMEI0181,MFS transporter
376,NC_003317.1,gene,178314,179207,-,protein_coding,BME_RS00865,BME_RS00865,BMEI0182,methyltransferase domain-containing protein
378,NC_003317.1,gene,179390,180178,+,protein_coding,BME_RS00870,BME_RS00870,BMEI0183,ComF family protein
380,NC_003317.1,gene,180262,180528,+,protein_coding,BME_RS00875,BME_RS00875,BMEI0184,glutaredoxin 3
382,NC_003317.1,gene,180539,181393,+,protein_coding,BME_RS00880,BME_RS00880,BMEI0185,carbon-nitrogen hydrolase family protein
384,NC_003317.1,gene,181399,181824,+,protein_coding,BME_RS00885,BME_RS00885,BMEI0186,DUF1178 domain-containing protein
386,NC_003317.1,gene,181852,182745,+,protein_coding,BME_RS00890,BME_RS00890,BMEI0187,EamA/RhaT family transporter
388,NC_003317.1,gene,182751,183497,-,protein_coding,BME_RS00895,BME_RS00895,BMEI0188,bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase
390,NC_003317.1,gene,183715,184986,+,protein_coding,BME_RS00900,BME_RS00900,BMEI0189,aspartate kinase
392,NC_003317.1,gene,185314,187584,+,protein_coding,BME_RS00905,BME_RS00905,BMEI0190,phosphoenolpyruvate--protein phosphotransferase
394,NC_003317.1,gene,187781,188860,+,protein_coding,BME_RS00910,BME_RS00910,BMEI0191,peptide chain release factor 1
396,NC_003317.1,gene,188857,189744,+,protein_coding,BME_RS00915,BME_RS00915,BMEI0192,peptide chain release factor N(5)-glutamine methyltransferase
398,NC_003317.1,gene,189936,190208,+,protein_coding,BME_RS15870,BME_RS15870,BMEI0193,hypothetical protein
400,NC_003317.1,gene,190162,190947,+,protein_coding,BME_RS00920,BME_RS00920,BMEI0194,DUF4167 domain-containing protein
402,NC_003317.1,gene,191146,193770,+,protein_coding,BME_RS00925,BME_RS00925,BMEI0195,chaperone protein ClpB
404,NC_003317.1,gene,194237,195670,+,protein_coding,BME_RS00930,BME_RS00930,NA,L%2CD-transpeptidase
406,NC_003317.1,gene,195738,197693,-,protein_coding,BME_RS00935,BME_RS00935,BMEI0197,M23 family peptidase
408,NC_003317.1,gene,198646,200138,+,rRNA,BME_RS00940,BME_RS00940,BMEIr01,NA
411,NC_003317.1,gene,200413,200489,+,tRNA,BME_RS00945,BME_RS00945,BMEIt04,NA
414,NC_003317.1,gene,200503,200578,+,tRNA,BME_RS00950,BME_RS00950,BMEIt05,NA
417,NC_003317.1,gene,200609,200851,-,protein_coding,BME_RS15740,BME_RS15740,NA,hypothetical protein
419,NC_003317.1,gene,200895,203818,+,rRNA,BME_RS00955,BME_RS00955,BMEIr02,NA
422,NC_003317.1,gene,204024,204138,+,rRNA,rrf,BME_RS00960,BMEIr04,NA
425,NC_003317.1,gene,204245,204321,+,tRNA,BME_RS00965,BME_RS00965,BMEIt06,NA
428,NC_003317.1,gene,204832,205506,+,protein_coding,BME_RS00970,BME_RS00970,BMEI0198,hypothetical protein
430,NC_003317.1,gene,205682,207121,+,protein_coding,BME_RS00975,BME_RS00975,BMEI0199,hypothetical protein
432,NC_003317.1,gene,207366,208052,-,protein_coding,BME_RS00980,BME_RS00980,BMEI0200,IS6 family transposase IS2020
434,NC_003317.1,gene,208320,208409,-,tRNA,BME_RS00985,BME_RS00985,BMEIt07,NA
437,NC_003317.1,gene,208762,209190,+,protein_coding,BME_RS00990,BME_RS00990,BMEI0201,50S ribosomal protein L21
439,NC_003317.1,pseudogene,209224,209487,+,pseudogene,BME_RS00995,BME_RS00995,NA,50S ribosomal protein L27
441,NC_003317.1,gene,209934,210257,+,protein_coding,BME_RS15875,BME_RS15875,NA,N-acetyltransferase
443,NC_003317.1,gene,210311,210868,+,protein_coding,BME_RS01005,BME_RS01005,BMEI0204,N-acetyltransferase
445,NC_003317.1,gene,211175,211858,+,protein_coding,BME_RS01010,BME_RS01010,NA,hypothetical protein
447,NC_003317.1,gene,212114,213139,+,protein_coding,obgE,BME_RS01015,BMEI0206,GTPase ObgE
449,NC_003317.1,gene,213167,214303,+,protein_coding,BME_RS01020,BME_RS01020,BMEI0207,glutamate 5-kinase
451,NC_003317.1,gene,214313,215596,+,protein_coding,BME_RS01025,BME_RS01025,BMEI0208,glutamate-5-semialdehyde dehydrogenase
